Week,CRPS,RMSE,MAE,NSE,Event_NSE,Log_NSE,KGE,Reservoir,Basin
1,613.3580964751555,1189.0714059808054,781.1724929978548,-1.2472736944004281,-1.2472736944004281,-15.407639691419313,0.07391843784936247,Nagarjuna Sagar,krishna
1,695.6934769600338,1301.6485006701935,686.7343078864076,0.7835670071131422,0.7839413258881536,-2.4668119971546627,0.7242646780107306,Srisailam,krishna
1,685.2609771548618,2524.0356137722556,885.7707359410255,0.7306949556820461,0.6511173920373075,-0.791622895749154,0.5294882358636904,Almatti,krishna
1,402.57425535645876,1502.4633510561182,550.0488322392644,0.6029335464645451,0.5862816369974844,-0.537779002416787,0.5781785654772801,Tungabhadra,krishna
1,235.43023546845848,430.23056573137114,270.9004641026773,0.27045155997477954,0.27045155997477954,-1.36558550549139,0.3884891937327388,Mettur,cauvery
1,217.9486220777971,705.0738272067847,285.06790955609745,0.31571272664400085,0.31571272664400085,0.10654904618918248,0.3911687585862781,Krishnaraja Sagara,cauvery
1,103.85083043210248,271.97686259866816,123.10094391777824,0.19596899628970277,-0.5211997313872796,-1.049624705171853,0.45201366007308075,Jayakwadi,godavari
1,444.3171627144005,1084.0135689936521,539.440968511369,0.4504967543694989,-0.6426556764561464,0.6043134714686927,0.2772103651007283,Ujjani,krishna
1,3335.7842896707457,12980.776104607176,3751.0694366418365,0.12370242654830355,0.12370242654830355,0.5705610464353834,0.21579160574407763,Sardar Sarovar,narmada
1,359.6116765952162,929.1613589347829,440.71228907252276,0.5954937506640449,0.4790860371907747,0.28414449624104,0.6453048077639119,Ukai,tapi
2,724.2332897863153,1148.4201400904492,834.3651193206699,-1.2581978242644989,-1.2581978242644989,-24.714355211895338,0.06292353660412286,Nagarjuna Sagar,krishna
2,983.4757462119767,2567.7197073539023,1063.1596711759742,0.1580363740928009,0.15720858486956435,-4.168106330329431,0.20519454393494763,Srisailam,krishna
2,1122.1134159930182,4277.553613250255,1376.8120908279323,0.22652825345792948,-0.00938179862835331,-0.6808268011033762,0.07651687372632532,Almatti,krishna
2,589.0986797245384,2216.857487111465,736.724517249167,0.13556772753482216,0.09213547843949033,-0.6581341785169359,0.09397836298808471,Tungabhadra,krishna
2,308.4951231929707,491.92660501088625,308.7867394270343,0.0573168007297038,0.0573168007297038,-0.9875848979044246,0.20508278185450457,Mettur,cauvery
2,273.74159528889567,849.005885964441,342.81081398023036,0.007755345314526707,0.007755345314526707,-0.14160542862879288,-0.01591809128904842,Krishnaraja Sagara,cauvery
2,113.374442562391,310.10364861462807,135.07075099843988,-0.045255902078756405,-0.876283707622149,-0.7683009918704546,-0.016826686472593222,Jayakwadi,godavari
2,590.5011233219403,1424.9477883031539,698.8894092860489,0.05049178138472776,-1.8437006560122358,0.4542245058277319,-0.09571617343436278,Ujjani,krishna
2,4006.064866426992,13612.751112019849,4049.3232376886594,0.03723393202872127,0.03723393202872127,0.46675390783839177,-0.06636886099706318,Sardar Sarovar,narmada
2,429.6714586875474,1100.7778692604172,541.1528091948448,0.4322007932881723,0.26563667334429997,0.2546048058365712,0.34000812586548756,Ukai,tapi
3,768.8180670327662,1041.4571508342055,775.814196414812,-0.9027399979010793,-0.9027399979010793,-25.62013639643513,0.1829228773621202,Nagarjuna Sagar,krishna
3,1176.5961556611915,3204.4529206613097,1347.4933636584456,-0.3113486401894099,-0.3036364720749076,-5.056925771149893,-0.12351323690457394,Srisailam,krishna
3,1420.2005493497988,4978.233814528208,1710.1441911246898,-0.0476207990417834,-0.3608584656961624,-0.8473688224689107,-0.21816542896261892,Almatti,krishna
3,710.5741618863744,2397.096645269924,829.1931499881836,-0.010709878984899612,-0.0623386647179367,-0.7329402395704763,-0.10524961354568618,Tungabhadra,krishna
3,348.05118707307287,442.5803620110011,281.09513509490864,0.2461953975119937,0.2461953975119937,0.06085463316632789,0.362056046796294,Mettur,cauvery
3,267.8926332261907,799.525146742403,338.48976366764475,0.12054401482276744,0.12054401482276744,-0.3825849966020738,0.048226922606078304,Krishnaraja Sagara,cauvery
3,113.8466191680221,297.58450655411946,133.96928798997757,0.03743623487630232,-0.6612831021688439,-0.7660615559873978,-0.047686187263442426,Jayakwadi,godavari
3,621.966933120841,1451.3443581220195,763.0301687384002,0.014987451892939374,-1.942798732913785,0.5587866749297559,-0.1550319371588611,Ujjani,krishna
3,4268.1542183251195,13639.165053023824,4362.378608654387,0.03447586259595248,0.03447586259595248,0.3996566290207999,-0.10705638226981207,Sardar Sarovar,narmada
