Condition,CRPS,RMSE,NSE,Event_NSE,Log_NSE,KGE
El Nino,917.7217325561027,2773.239872145987,0.1706364037519322,-0.016772067705896586,-2.8008281127843624,0.37939488044085246
Neutral,299.7225521555903,470.6847448062608,-2.684262937847019,-0.7133920166135335,-3.3372254191727003e+40,-23.639388406773854
