Condition,CRPS,RMSE,NSE,KGE
El Nino,849.1952420117896,2782.2862854889695,-0.14208256313044823,0.30370103596341963
Neutral,229.9019689972525,361.3032646087207,-461.64452883744116,-18.106931427281417
