CRPS,RMSE,MAE,NSE,Event_NSE,Log_NSE,KGE,Reservoir,Basin
737.4023408679271,1489.51858476104,1028.972399324911,-2.5264030586712525,-2.5264030586712525,-31.286384987772514,-0.12724168358365717,Nagarjuna Sagar,krishna
700.7300378137236,1290.8582338371968,807.8400762653292,0.7871404603058784,0.7873891522920378,-6.342294974140086,0.41420150477151574,Srisailam,krishna
663.3866119562169,2460.083380383217,797.5160662866207,0.7441689900126897,0.6662982142080384,0.29016249560995877,0.47675571665097183,Almatti,krishna
367.30600215686485,1498.8611368395407,472.04297085905574,0.6048352285267011,0.5839026818780662,-0.12308921336635037,0.5662858663451871,Tungabhadra,krishna
214.3206309545883,431.6565299948048,257.2212340046119,0.2656074875242259,0.2656074875242259,0.3862094212914604,0.35463117941075717,Mettur,cauvery
207.68858491187123,728.5263369456454,259.2709444829621,0.26943344143910153,0.26943344143910153,0.4312897626628893,0.3719738599992686,Krishnaraja Sagara,cauvery
94.81146121823707,281.3786027992682,107.72074082840108,0.13942046545362008,-0.6793106316873749,0.12289756689354958,0.30830306803760743,Jayakwadi,godavari
432.2369525130851,1084.9756609189844,554.5074102147345,0.4495209229657925,-0.6085588563817139,0.747719081169258,0.283030525657179,Ujjani,krishna
3243.788515913077,12848.955637041669,3626.8468401935374,0.1414097546415689,0.1414097546415689,0.6248816569972657,0.23736809400878767,Sardar Sarovar,narmada
342.0458370896344,957.2774644753479,419.25291368957613,0.5706429237109611,0.4432701713810918,0.39811754409861133,0.6122686479159916,Ukai,tapi
