Condition,CRPS,RMSE,NSE,Event_NSE,Log_NSE,KGE
El Nino,1140.5965636519963,2954.414256046962,-0.21281737987252342,-0.3854011450701256,-3.605335622721385,0.16681088882851486
Neutral,468.2624163338887,604.643645129647,-5.100285562589151,-1.4806812361037742,-1.8451660353417995e+39,-30.95174158240023
