CRPS,RMSE,NSE,KGE,Reservoir,Basin
225.0032401131039,588.5640076061472,0.5426434481481084,0.48498558837103456,Nagarjuna Sagar,krishna
382.5889858321224,1314.0007320121924,0.669217703359849,0.5766434845885375,Srisailam,krishna
668.4150794383675,2476.804185819213,0.7406794839166757,0.5411620346331449,Almatti,krishna
373.02923643818247,1478.0566583239236,0.6157290210285429,0.5945394933462985,Tungabhadra,krishna
826.1353354202543,1235.8234359464952,-1.7756924197073873,-0.13094864844322407,Mettur,cauvery
200.82954565437382,715.6103323156756,0.29510816422814445,0.4517235339673952,Krishnaraja Sagara,cauvery
33.28885618274991,32.81485285901806,,,Jayakwadi,godavari
383.81949399953294,1087.1970935431648,0.44726448898730364,0.3568860365083468,Ujjani,krishna
2704.2850510617955,11546.348778760394,-0.06086527869675584,0.015088713664956566,Sardar Sarovar,narmada
369.8222833551438,997.5303660326011,0.5337753789857405,0.6128512431264364,Ukai,tapi
