Date,Year,Month,oni,Phase
1955-03-01,1955,3,-0.69,La Niña
1955-04-01,1955,4,-0.80,La Niña
1955-05-01,1955,5,-0.79,La Niña
1955-06-01,1955,6,-0.72,La Niña
1955-07-01,1955,7,-0.68,La Niña
1955-08-01,1955,8,-0.75,La Niña
1955-09-01,1955,9,-1.09,La Niña
1955-10-01,1955,10,-1.42,La Niña
1955-11-01,1955,11,-1.67,La Niña
1955-12-01,1955,12,-1.47,La Niña
1956-01-01,1956,1,-1.11,La Niña
1956-02-01,1956,2,-0.76,La Niña
1956-03-01,1956,3,-0.63,La Niña
1956-04-01,1956,4,-0.54,La Niña
1956-05-01,1956,5,-0.52,La Niña
1956-06-01,1956,6,-0.51,La Niña
1956-07-01,1956,7,-0.57,La Niña
1956-08-01,1956,8,-0.55,La Niña
1956-09-01,1956,9,-0.46,Neutral
1956-10-01,1956,10,-0.42,Neutral
1956-11-01,1956,11,-0.43,Neutral
1956-12-01,1956,12,-0.43,Neutral
1957-01-01,1957,1,-0.25,Neutral
1957-02-01,1957,2,0.06,Neutral
1957-03-01,1957,3,0.41,Neutral
1957-04-01,1957,4,0.72,El Niño
1957-05-01,1957,5,0.92,El Niño
1957-06-01,1957,6,1.11,El Niño
1957-07-01,1957,7,1.25,El Niño
1957-08-01,1957,8,1.32,El Niño
1957-09-01,1957,9,1.33,El Niño
1957-10-01,1957,10,1.39,El Niño
1957-11-01,1957,11,1.53,El Niño
1957-12-01,1957,12,1.74,El Niño
1958-01-01,1958,1,1.81,El Niño
1958-02-01,1958,2,1.66,El Niño
1958-03-01,1958,3,1.27,El Niño
1958-04-01,1958,4,0.93,El Niño
1958-05-01,1958,5,0.74,El Niño
1958-06-01,1958,6,0.64,El Niño
1958-07-01,1958,7,0.57,El Niño
1958-08-01,1958,8,0.43,Neutral
1958-09-01,1958,9,0.39,Neutral
1958-10-01,1958,10,0.44,Neutral
1958-11-01,1958,11,0.50,El Niño
1958-12-01,1958,12,0.61,El Niño
1959-01-01,1959,1,0.61,El Niño
1959-02-01,1959,2,0.62,El Niño
1959-03-01,1959,3,0.52,El Niño
1959-04-01,1959,4,0.33,Neutral
1959-05-01,1959,5,0.20,Neutral
1959-06-01,1959,6,-0.07,Neutral
1959-07-01,1959,7,-0.18,Neutral
1959-08-01,1959,8,-0.28,Neutral
1959-09-01,1959,9,-0.09,Neutral
1959-10-01,1959,10,-0.03,Neutral
1959-11-01,1959,11,0.05,Neutral
1959-12-01,1959,12,-0.04,Neutral
1960-01-01,1960,1,-0.10,Neutral
1960-02-01,1960,2,-0.10,Neutral
1960-03-01,1960,3,-0.07,Neutral
1960-04-01,1960,4,0.03,Neutral
1960-05-01,1960,5,0.02,Neutral
1960-06-01,1960,6,0.03,Neutral
1960-07-01,1960,7,0.13,Neutral
1960-08-01,1960,8,0.24,Neutral
1960-09-01,1960,9,0.27,Neutral
1960-10-01,1960,10,0.20,Neutral
1960-11-01,1960,11,0.12,Neutral
1960-12-01,1960,12,0.05,Neutral
1961-01-01,1961,1,0.04,Neutral
1961-02-01,1961,2,0.03,Neutral
1961-03-01,1961,3,0.04,Neutral
1961-04-01,1961,4,0.09,Neutral
1961-05-01,1961,5,0.23,Neutral
1961-06-01,1961,6,0.27,Neutral
1961-07-01,1961,7,0.14,Neutral
1961-08-01,1961,8,-0.13,Neutral
1961-09-01,1961,9,-0.30,Neutral
1961-10-01,1961,10,-0.26,Neutral
1961-11-01,1961,11,-0.19,Neutral
1961-12-01,1961,12,-0.16,Neutral
1962-01-01,1962,1,-0.24,Neutral
1962-02-01,1962,2,-0.22,Neutral
1962-03-01,1962,3,-0.20,Neutral
1962-04-01,1962,4,-0.26,Neutral
1962-05-01,1962,5,-0.28,Neutral
1962-06-01,1962,6,-0.20,Neutral
1962-07-01,1962,7,-0.04,Neutral
1962-08-01,1962,8,-0.07,Neutral
1962-09-01,1962,9,-0.11,Neutral
1962-10-01,1962,10,-0.22,Neutral
1962-11-01,1962,11,-0.31,Neutral
1962-12-01,1962,12,-0.43,Neutral
1963-01-01,1963,1,-0.40,Neutral
1963-02-01,1963,2,-0.15,Neutral
1963-03-01,1963,3,0.15,Neutral
1963-04-01,1963,4,0.27,Neutral
1963-05-01,1963,5,0.31,Neutral
1963-06-01,1963,6,0.52,El Niño
1963-07-01,1963,7,0.86,El Niño
1963-08-01,1963,8,1.14,El Niño
1963-09-01,1963,9,1.22,El Niño
1963-10-01,1963,10,1.29,El Niño
1963-11-01,1963,11,1.37,El Niño
1963-12-01,1963,12,1.31,El Niño
1964-01-01,1964,1,1.07,El Niño
1964-02-01,1964,2,0.62,El Niño
1964-03-01,1964,3,0.12,Neutral
1964-04-01,1964,4,-0.33,Neutral
1964-05-01,1964,5,-0.58,La Niña
1964-06-01,1964,6,-0.58,La Niña
1964-07-01,1964,7,-0.60,La Niña
1964-08-01,1964,8,-0.66,La Niña
1964-09-01,1964,9,-0.76,La Niña
1964-10-01,1964,10,-0.80,La Niña
1964-11-01,1964,11,-0.82,La Niña
1964-12-01,1964,12,-0.78,La Niña
1965-01-01,1965,1,-0.59,La Niña
1965-02-01,1965,2,-0.28,Neutral
1965-03-01,1965,3,-0.07,Neutral
1965-04-01,1965,4,0.18,Neutral
1965-05-01,1965,5,0.46,Neutral
1965-06-01,1965,6,0.83,El Niño
1965-07-01,1965,7,1.22,El Niño
1965-08-01,1965,8,1.54,El Niño
1965-09-01,1965,9,1.85,El Niño
1965-10-01,1965,10,1.98,El Niño
1965-11-01,1965,11,1.97,El Niño
1965-12-01,1965,12,1.72,El Niño
1966-01-01,1966,1,1.37,El Niño
1966-02-01,1966,2,1.17,El Niño
1966-03-01,1966,3,0.98,El Niño
1966-04-01,1966,4,0.66,El Niño
1966-05-01,1966,5,0.35,Neutral
1966-06-01,1966,6,0.24,Neutral
1966-07-01,1966,7,0.24,Neutral
1966-08-01,1966,8,0.12,Neutral
1966-09-01,1966,9,-0.05,Neutral
1966-10-01,1966,10,-0.10,Neutral
1966-11-01,1966,11,-0.18,Neutral
1966-12-01,1966,12,-0.30,Neutral
1967-01-01,1967,1,-0.41,Neutral
1967-02-01,1967,2,-0.48,Neutral
1967-03-01,1967,3,-0.53,La Niña
1967-04-01,1967,4,-0.45,Neutral
1967-05-01,1967,5,-0.24,Neutral
