Date,Year,Month,oni,Phase
2003-12-01,2003,12,0.35,Neutral
2004-01-01,2004,1,0.37,Neutral
2004-02-01,2004,2,0.31,Neutral
2004-03-01,2004,3,0.23,Neutral
2004-04-01,2004,4,0.17,Neutral
2004-05-01,2004,5,0.17,Neutral
2004-06-01,2004,6,0.28,Neutral
2004-07-01,2004,7,0.47,Neutral
2004-08-01,2004,8,0.64,El Niño
2004-09-01,2004,9,0.70,El Niño
2004-10-01,2004,10,0.67,El Niño
2004-11-01,2004,11,0.66,El Niño
2004-12-01,2004,12,0.69,El Niño
2005-01-01,2005,1,0.64,El Niño
2005-02-01,2005,2,0.58,El Niño
2005-03-01,2005,3,0.45,Neutral
2005-04-01,2005,4,0.43,Neutral
2005-05-01,2005,5,0.29,Neutral
2005-06-01,2005,6,0.11,Neutral
2005-07-01,2005,7,-0.06,Neutral
2005-08-01,2005,8,-0.14,Neutral
2005-09-01,2005,9,-0.11,Neutral
2005-10-01,2005,10,-0.29,Neutral
2005-11-01,2005,11,-0.57,La Niña
2005-12-01,2005,12,-0.84,La Niña
2006-01-01,2006,1,-0.85,La Niña
2006-02-01,2006,2,-0.77,La Niña
2006-03-01,2006,3,-0.57,La Niña
2006-04-01,2006,4,-0.37,Neutral
2006-05-01,2006,5,-0.14,Neutral
2006-06-01,2006,6,-0.03,Neutral
2006-07-01,2006,7,0.10,Neutral
2006-08-01,2006,8,0.30,Neutral
2006-09-01,2006,9,0.54,El Niño
2006-10-01,2006,10,0.77,El Niño
2006-11-01,2006,11,0.94,El Niño
2006-12-01,2006,12,0.94,El Niño
2007-01-01,2007,1,0.66,El Niño
2007-02-01,2007,2,0.22,Neutral
2007-03-01,2007,3,-0.12,Neutral
2007-04-01,2007,4,-0.32,Neutral
2007-05-01,2007,5,-0.38,Neutral
2007-06-01,2007,6,-0.47,Neutral
2007-07-01,2007,7,-0.56,La Niña
2007-08-01,2007,8,-0.81,La Niña
2007-09-01,2007,9,-1.07,La Niña
2007-10-01,2007,10,-1.34,La Niña
2007-11-01,2007,11,-1.50,La Niña
2007-12-01,2007,12,-1.60,La Niña
2008-01-01,2008,1,-1.64,La Niña
2008-02-01,2008,2,-1.52,La Niña
2008-03-01,2008,3,-1.29,La Niña
2008-04-01,2008,4,-1.01,La Niña
2008-05-01,2008,5,-0.84,La Niña
2008-06-01,2008,6,-0.61,La Niña
2008-07-01,2008,7,-0.37,Neutral
2008-08-01,2008,8,-0.23,Neutral
2008-09-01,2008,9,-0.24,Neutral
2008-10-01,2008,10,-0.35,Neutral
2008-11-01,2008,11,-0.55,La Niña
2008-12-01,2008,12,-0.73,La Niña
2009-01-01,2009,1,-0.85,La Niña
2009-02-01,2009,2,-0.79,La Niña
2009-03-01,2009,3,-0.61,La Niña
2009-04-01,2009,4,-0.33,Neutral
2009-05-01,2009,5,0.01,Neutral
2009-06-01,2009,6,0.28,Neutral
2009-07-01,2009,7,0.45,Neutral
2009-08-01,2009,8,0.58,El Niño
2009-09-01,2009,9,0.71,El Niño
2009-10-01,2009,10,1.01,El Niño
2009-11-01,2009,11,1.36,El Niño
2009-12-01,2009,12,1.56,El Niño
2010-01-01,2010,1,1.50,El Niño
2010-02-01,2010,2,1.22,El Niño
2010-03-01,2010,3,0.84,El Niño
2010-04-01,2010,4,0.35,Neutral
2010-05-01,2010,5,-0.17,Neutral
2010-06-01,2010,6,-0.66,La Niña
2010-07-01,2010,7,-1.05,La Niña
2010-08-01,2010,8,-1.35,La Niña
2010-09-01,2010,9,-1.56,La Niña
2010-10-01,2010,10,-1.64,La Niña
2010-11-01,2010,11,-1.64,La Niña
2010-12-01,2010,12,-1.54,La Niña
2011-01-01,2011,1,-1.31,La Niña
2011-02-01,2011,2,-1.04,La Niña
2011-03-01,2011,3,-0.80,La Niña
2011-04-01,2011,4,-0.62,La Niña
2011-05-01,2011,5,-0.46,Neutral
2011-06-01,2011,6,-0.37,Neutral
2011-07-01,2011,7,-0.43,Neutral
2011-08-01,2011,8,-0.58,La Niña
2011-09-01,2011,9,-0.79,La Niña
2011-10-01,2011,10,-0.96,La Niña
2011-11-01,2011,11,-1.02,La Niña
2011-12-01,2011,12,-0.92,La Niña
2012-01-01,2012,1,-0.72,La Niña
2012-02-01,2012,2,-0.57,La Niña
2012-03-01,2012,3,-0.46,Neutral
2012-04-01,2012,4,-0.36,Neutral
2012-05-01,2012,5,-0.17,Neutral
2012-06-01,2012,6,0.06,Neutral
2012-07-01,2012,7,0.30,Neutral
2012-08-01,2012,8,0.41,Neutral
2012-09-01,2012,9,0.41,Neutral
2012-10-01,2012,10,0.31,Neutral
2012-11-01,2012,11,0.13,Neutral
2012-12-01,2012,12,-0.10,Neutral
2013-01-01,2013,1,-0.29,Neutral
2013-02-01,2013,2,-0.29,Neutral
2013-03-01,2013,3,-0.21,Neutral
2013-04-01,2013,4,-0.19,Neutral
2013-05-01,2013,5,-0.27,Neutral
2013-06-01,2013,6,-0.34,Neutral
2013-07-01,2013,7,-0.35,Neutral
2013-08-01,2013,8,-0.28,Neutral
2013-09-01,2013,9,-0.21,Neutral
2013-10-01,2013,10,-0.13,Neutral
2013-11-01,2013,11,-0.10,Neutral
2013-12-01,2013,12,-0.15,Neutral
2014-01-01,2014,1,-0.28,Neutral
2014-02-01,2014,2,-0.32,Neutral
2014-03-01,2014,3,-0.14,Neutral
2014-04-01,2014,4,0.15,Neutral
2014-05-01,2014,5,0.31,Neutral
2014-06-01,2014,6,0.23,Neutral
2014-07-01,2014,7,0.10,Neutral
2014-08-01,2014,8,0.11,Neutral
2014-09-01,2014,9,0.28,Neutral
2014-10-01,2014,10,0.54,El Niño
2014-11-01,2014,11,0.71,El Niño
2014-12-01,2014,12,0.77,El Niño
2015-01-01,2015,1,0.69,El Niño
2015-02-01,2015,2,0.61,El Niño
2015-03-01,2015,3,0.65,El Niño
2015-04-01,2015,4,0.81,El Niño
2015-05-01,2015,5,1.02,El Niño
2015-06-01,2015,6,1.25,El Niño
2015-07-01,2015,7,1.57,El Niño
2015-08-01,2015,8,1.91,El Niño
2015-09-01,2015,9,2.21,El Niño
2015-10-01,2015,10,2.47,El Niño
2015-11-01,2015,11,2.64,El Niño
2015-12-01,2015,12,2.75,El Niño
2016-01-01,2016,1,2.63,El Niño
2016-02-01,2016,2,2.28,El Niño
2016-03-01,2016,3,1.71,El Niño
2016-04-01,2016,4,1.05,El Niño
2016-05-01,2016,5,0.49,Neutral
2016-06-01,2016,6,0.00,Neutral
2016-07-01,2016,7,-0.31,Neutral
2016-08-01,2016,8,-0.50,La Niña
2016-09-01,2016,9,-0.58,La Niña
2016-10-01,2016,10,-0.64,La Niña
2016-11-01,2016,11,-0.60,La Niña
2016-12-01,2016,12,-0.45,Neutral
2017-01-01,2017,1,-0.19,Neutral
2017-02-01,2017,2,-0.02,Neutral
2017-03-01,2017,3,0.18,Neutral
2017-04-01,2017,4,0.31,Neutral
2017-05-01,2017,5,0.40,Neutral
2017-06-01,2017,6,0.39,Neutral
2017-07-01,2017,7,0.19,Neutral
2017-08-01,2017,8,-0.07,Neutral
2017-09-01,2017,9,-0.34,Neutral
2017-10-01,2017,10,-0.60,La Niña
2017-11-01,2017,11,-0.77,La Niña
2017-12-01,2017,12,-0.86,La Niña
2018-01-01,2018,1,-0.77,La Niña
2018-02-01,2018,2,-0.71,La Niña
2018-03-01,2018,3,-0.57,La Niña
2018-04-01,2018,4,-0.39,Neutral
2018-05-01,2018,5,-0.13,Neutral
2018-06-01,2018,6,0.06,Neutral
2018-07-01,2018,7,0.14,Neutral
2018-08-01,2018,8,0.27,Neutral
2018-09-01,2018,9,0.53,El Niño
2018-10-01,2018,10,0.81,El Niño
2018-11-01,2018,11,0.97,El Niño
2018-12-01,2018,12,0.92,El Niño
2019-01-01,2019,1,0.89,El Niño
2019-02-01,2019,2,0.86,El Niño
2019-03-01,2019,3,0.84,El Niño
2019-04-01,2019,4,0.77,El Niño
2019-05-01,2019,5,0.64,El Niño
2019-06-01,2019,6,0.52,El Niño
2019-07-01,2019,7,0.33,Neutral
2019-08-01,2019,8,0.19,Neutral
2019-09-01,2019,9,0.23,Neutral
2019-10-01,2019,10,0.39,Neutral
2019-11-01,2019,11,0.58,El Niño
2019-12-01,2019,12,0.66,El Niño
2020-01-01,2020,1,0.64,El Niño
2020-02-01,2020,2,0.63,El Niño
2020-03-01,2020,3,0.53,El Niño
2020-04-01,2020,4,0.30,Neutral
2020-05-01,2020,5,0.01,Neutral
2020-06-01,2020,6,-0.23,Neutral
2020-07-01,2020,7,-0.36,Neutral
2020-08-01,2020,8,-0.53,La Niña
2020-09-01,2020,9,-0.85,La Niña
2020-10-01,2020,10,-1.12,La Niña
2020-11-01,2020,11,-1.20,La Niña
2020-12-01,2020,12,-1.08,La Niña
2021-01-01,2021,1,-0.91,La Niña
2021-02-01,2021,2,-0.79,La Niña
2021-03-01,2021,3,-0.71,La Niña
2021-04-01,2021,4,-0.55,La Niña
2021-05-01,2021,5,-0.39,Neutral
2021-06-01,2021,6,-0.30,Neutral
2021-07-01,2021,7,-0.35,Neutral
2021-08-01,2021,8,-0.45,Neutral
2021-09-01,2021,9,-0.63,La Niña
2021-10-01,2021,10,-0.76,La Niña
2021-11-01,2021,11,-0.91,La Niña
2021-12-01,2021,12,-0.87,La Niña
2022-01-01,2022,1,-0.82,La Niña
2022-02-01,2022,2,-0.79,La Niña
2022-03-01,2022,3,-0.86,La Niña
2022-04-01,2022,4,-0.95,La Niña
2022-05-01,2022,5,-0.90,La Niña
2022-06-01,2022,6,-0.78,La Niña
2022-07-01,2022,7,-0.76,La Niña
2022-08-01,2022,8,-0.87,La Niña
2022-09-01,2022,9,-0.97,La Niña
2022-10-01,2022,10,-0.94,La Niña
2022-11-01,2022,11,-0.85,La Niña
2022-12-01,2022,12,-0.71,La Niña
2023-01-01,2023,1,-0.54,La Niña
2023-02-01,2023,2,-0.29,Neutral
2023-03-01,2023,3,-0.02,Neutral
2023-04-01,2023,4,0.27,Neutral
2023-05-01,2023,5,0.57,El Niño
2023-06-01,2023,6,0.84,El Niño
2023-07-01,2023,7,1.12,El Niño
2023-08-01,2023,8,1.37,El Niño
2023-09-01,2023,9,1.60,El Niño
2023-10-01,2023,10,1.83,El Niño
2023-11-01,2023,11,1.99,El Niño
2023-12-01,2023,12,2.06,El Niño
2024-01-01,2024,1,1.92,El Niño
2024-02-01,2024,2,1.62,El Niño
2024-03-01,2024,3,1.26,El Niño
2024-04-01,2024,4,0.82,El Niño
2024-05-01,2024,5,0.49,Neutral
2024-06-01,2024,6,0.22,Neutral
2024-07-01,2024,7,0.08,Neutral
2024-08-01,2024,8,-0.07,Neutral
2024-09-01,2024,9,-0.17,Neutral
2024-10-01,2024,10,-0.21,Neutral
2024-11-01,2024,11,-0.30,Neutral
2024-12-01,2024,12,-0.42,Neutral
2025-01-01,2025,1,-0.45,Neutral
2025-02-01,2025,2,-0.24,Neutral
2025-03-01,2025,3,-0.06,Neutral
2025-04-01,2025,4,0.02,Neutral
2025-05-01,2025,5,-0.02,Neutral
2025-06-01,2025,6,-0.04,Neutral
2025-07-01,2025,7,-0.14,Neutral
2025-08-01,2025,8,-0.28,Neutral
2025-09-01,2025,9,-0.40,Neutral
2025-10-01,2025,10,-0.51,La Niña
2025-11-01,2025,11,-0.55,La Niña
2025-12-01,2025,12,-0.54,La Niña
2026-01-01,2026,1,-0.37,Neutral
2026-02-01,2026,2,-0.14,Neutral
2026-03-01,2026,3,0.13,Neutral
2026-04-01,2026,4,0.51,El Niño
2026-05-01,2026,5,0.98,El Niño
2026-06-01,2026,6,1.40,El Niño
2026-07-01,2026,7,,Unknown
2026-08-01,2026,8,,Unknown
2026-09-01,2026,9,,Unknown
2026-10-01,2026,10,,Unknown
2026-11-01,2026,11,,Unknown
2026-12-01,2026,12,,Unknown
