Condition,CRPS,RMSE,NSE,KGE
El Nino,808.5526503332482,2604.6233569637066,-0.2546929441435465,0.26672465793319816
Neutral,221.1326462670614,333.4598480604469,-435.2929509487789,-8.363294779381798
