Week,CRPS,RMSE,MAE,NSE,KGE,Reservoir,Basin
1,238.4690685850171,642.9659408391822,236.53596462721,0.45418754620692026,0.4086294678820821,Nagarjuna Sagar,krishna
1,383.7350414215346,1253.4820141353175,447.44298948926496,0.6989856100928731,0.5828369435399234,Srisailam,krishna
1,689.6283730895572,2682.255229729767,967.32362636764,0.6958738719765334,0.46206326204555825,Almatti,krishna
1,391.6317904945715,1533.0490997492416,536.9852836371302,0.5866027804313217,0.4968786412250238,Tungabhadra,krishna
1,815.495688998635,1387.1265368112763,1046.4482470264907,-6.5837458702837175,-0.9312940980789985,Mettur,cauvery
1,216.28829699542686,708.3349031196652,270.8428595002296,0.3093682185803991,0.36968116319033595,Krishnaraja Sagara,cauvery
1,39.99139365689856,35.88792127492975,29.72145100771572,,,Jayakwadi,godavari
1,506.8518932030222,1291.4796658596044,668.4418538587959,0.22003350510373498,0.045370270869905305,Ujjani,krishna
1,2879.278580226668,11722.418677336906,3312.514704200677,-0.09346616332830004,0.02513293179855336,Sardar Sarovar,narmada
1,380.40497438861973,979.6088010401304,482.303632959673,0.550377215225712,0.5090409456346956,Ukai,tapi
2,311.64530175999084,870.9744605297554,306.9866044049976,-0.0007714288805102942,-0.09309543939782361,Nagarjuna Sagar,krishna
2,592.7946121387674,2172.1451931351503,688.4252616532622,0.09637614780215265,0.027319730647062945,Srisailam,krishna
2,1130.460690886682,4397.871862252734,1450.406450422777,0.18240415777203633,0.013906565938441418,Almatti,krishna
2,566.3692740042366,2206.9580482807264,698.726661156644,0.14327078270435056,0.02444129269880868,Tungabhadra,krishna
2,1008.2389950742363,1424.19192022674,1128.6735223983267,-6.901365953582269,-1.1028996859433455,Mettur,cauvery
2,258.5534209342048,807.6528219099017,309.9766901991591,0.10206108102596856,0.04067158916832325,Krishnaraja Sagara,cauvery
2,45.79944510837412,31.11113119052428,25.633932091220014,,,Jayakwadi,godavari
2,582.3727612282698,1515.4057966517323,742.9753340652626,-0.07388725964927056,-0.2941407877287381,Ujjani,krishna
2,3351.90703090538,11592.926909064443,3684.8244828042234,-0.07114688558507964,-0.327068156140635,Sardar Sarovar,narmada
2,454.2972402109247,1216.2413010230132,615.2361571830168,0.306837760386799,0.19218421823043697,Ukai,tapi
3,386.2868557397261,930.2039991468976,349.9601385054839,-0.13979688246905897,-0.2858060846816335,Nagarjuna Sagar,krishna
3,764.9672426485324,2379.60305427018,820.8397892098692,-0.08337967045394135,-0.23192228036471474,Srisailam,krishna
3,1447.2992177276894,4941.826639867796,1717.5123850143295,-0.032353759605704635,-0.25000667300961976,Almatti,krishna
3,673.1816047234412,2387.8492768855376,807.6311977615254,-0.002926814743456685,-0.1757619262658896,Tungabhadra,krishna
3,1059.9838360148992,1403.7075734212526,1083.9540275452584,-6.582768381356783,-1.0674000574412892,Mettur,cauvery
3,258.21492760223873,803.4356657190176,324.6905871046063,0.1119200464256499,0.029969676372281095,Krishnaraja Sagara,cauvery
3,52.867530176132284,37.34305384315464,30.36447516096833,,,Jayakwadi,godavari
3,565.2771539234002,1536.2677424968276,763.6555140592311,-0.10365827779171921,-0.33665665996719385,Ujjani,krishna
3,3469.64045305465,11605.445371124662,3896.0830957621565,-0.07230756642488267,-0.3926754578172391,Sardar Sarovar,narmada
3,512.2111511533943,1343.6513495340469,666.28367155352,0.15365334199087544,0.0693783811393559,Ukai,tapi
4,407.1560302276278,985.4261052969244,389.7538463814959,-0.27906200891062105,-0.46315917710043353,Nagarjuna Sagar,krishna
4,834.1064352862003,2459.222613916629,835.0720377357383,-0.15697706599041195,-0.33120221225509594,Srisailam,krishna
4,1654.8090645475038,5156.081492052455,1844.143745946508,-0.12381047768255171,-0.3876513161685662,Almatti,krishna
4,782.5765406166803,2513.0318972724895,878.2503734893762,-0.11083978176011366,-0.3242813988139146,Tungabhadra,krishna
4,1127.4159063001957,1739.8649949134945,1394.6362346618369,-10.580766316170314,-1.5503338816865533,Mettur,cauvery
4,303.32772475349,864.275096779572,340.68602540547187,-0.026335618648578807,-0.13293255552226557,Krishnaraja Sagara,cauvery
4,52.97427299813898,35.7413263594974,29.016007109872444,,,Jayakwadi,godavari
4,614.9334628385081,1614.6085626169317,809.09107991678,-0.21908869615398796,-0.48493260339145183,Ujjani,krishna
4,3387.161055905774,11543.709776275302,4022.2869577150977,-0.060905113635392416,-0.3614914691961948,Sardar Sarovar,narmada
4,573.8565071927248,1443.0179243961234,713.5339209453159,0.023489645390770253,-0.05779774235430635,Ukai,tapi
5,426.43074263472846,967.6768209092247,366.1793831432015,-0.2321377060581069,-0.44073980911481336,Nagarjuna Sagar,krishna
5,853.6425388130763,2437.268668030759,811.6174302567732,-0.13568396672217142,-0.33778090622873336,Srisailam,krishna
5,1797.5310895281111,5150.268974690592,1849.4661735231107,-0.12127813368281326,-0.4370772700513512,Almatti,krishna
5,842.4601529533575,2528.473004539914,891.0588446030387,-0.12453263824011396,-0.3822038924406217,Tungabhadra,krishna
5,1126.376932154315,1664.9772361531311,1341.7269458425478,-9.457343223257762,-1.4940433246326026,Mettur,cauvery
5,333.7909426138462,877.4577627119555,357.32141726160586,-0.05756565033679251,-0.18410446798957025,Krishnaraja Sagara,cauvery
5,50.85863428422546,29.675056635739175,22.572445064177707,,,Jayakwadi,godavari
5,656.9704981139888,1588.5709857040279,802.7878782458712,-0.18008707580384575,-0.46241471134671164,Ujjani,krishna
5,3553.7300517814606,11678.745405029144,4260.948807925585,-0.08709978985564892,-0.43183172116391266,Sardar Sarovar,narmada
5,603.3287334304036,1468.3344463275214,746.6823581419326,-0.011233095911891589,-0.124641783607357,Ukai,tapi
