CRPS,RMSE,NSE,KGE,Reservoir,Basin
243.39810173338304,610.6043807288584,0.5077481736990002,0.3741483509575452,Nagarjuna Sagar,krishna
377.4349808442907,1210.002680021185,0.7195059143787232,0.6101841017023367,Srisailam,krishna
673.0319583082241,2559.6777607299564,0.7230354905339291,0.5024086770053799,Almatti,krishna
373.0086196478273,1505.7726299015949,0.6011824878371685,0.4931405987158748,Tungabhadra,krishna
872.8061640535519,1548.9348896285603,-3.3603847324731744,-0.46704963551718226,Mettur,cauvery
214.75514539116506,692.9120231941802,0.3391156468441435,0.41579471963342485,Krishnaraja Sagara,cauvery
45.61933066564892,49.06888330012715,,,Jayakwadi,godavari
408.75413880522495,1079.7754321422299,0.45478513839327817,0.3277584584052632,Ujjani,krishna
2708.9712795186456,11363.885365364706,-0.027601145249304793,-0.015966493027131712,Sardar Sarovar,narmada
365.7784578251553,932.2337200216034,0.5928142505992495,0.5967738713057696,Ukai,tapi
