CRPS,RMSE,MAE,NSE,KGE,Reservoir,Basin
474.4764260368007,688.5556657504422,497.2912782580928,-1.6624087592305963,-0.1058317323014264,Nagarjuna Sagar,krishna
441.9804253337529,1297.0043904904458,474.38143118427683,0.6777195686007689,0.5138790069907144,Srisailam,krishna
738.196723760188,2836.343447918101,1080.3936797151375,0.6599277720687071,0.4353938706229934,Almatti,krishna
433.91035808131676,1566.0885834887706,594.7994265362759,0.5685921238328959,0.4945918908974911,Tungabhadra,krishna
242.8908357658089,400.2257288625401,263.7772857500257,0.36866245324117164,0.34837974143574013,Mettur,cauvery
226.03451253626636,725.7539932941575,294.92241336529884,0.2749830770565318,0.3115630191506953,Krishnaraja Sagara,cauvery
108.07793550522227,270.9003433972957,132.4922527566812,0.20232131477312465,0.30400613909123886,Jayakwadi,godavari
461.7149988165312,1299.8223242637434,630.0246389074847,0.20992411138348588,0.0046708687962323525,Ujjani,krishna
3490.2369416469824,13176.580279609008,4009.1684428520266,0.09706660552640178,0.17588768637382324,Sardar Sarovar,narmada
407.6812136594509,1036.5601978492273,527.4241080511472,0.4965782072717483,0.42376500042269327,Ukai,tapi
