Condition,CRPS,RMSE,NSE,KGE
El Nino,881.15127949257,2816.780061197956,0.08755012240118101,0.24591149088964243
Neutral,330.86289056013146,474.4351720727553,-1830.5190846525288,-35.08878699567489
