CRPS,RMSE,MAE,NSE,KGE,Reservoir,Basin
477.11863279350433,763.8027918327515,524.1926331401567,-2.276114741428013,-0.20543337994811162,Nagarjuna Sagar,krishna
393.33555298939024,1097.9751234026282,441.0019435041139,0.7690403860828049,0.6220694745236098,Srisailam,krishna
734.646900641146,2802.9120530098603,1060.8105067662138,0.6678972486882901,0.4331667732891187,Almatti,krishna
431.4096904281777,1557.2623867070008,575.1800097366627,0.5734410974019815,0.49174185202067067,Tungabhadra,krishna
234.22571472406514,396.4345038654731,268.15036337339757,0.38056676543806567,0.3544595769819462,Mettur,cauvery
221.9970106530827,726.3448891906849,288.7693574865164,0.2738020048741685,0.3135050986691672,Krishnaraja Sagara,cauvery
108.46002503188244,275.96180073082746,128.97268387803516,0.17223546258675126,0.3624560078977568,Jayakwadi,godavari
456.6087644291453,1257.7592969372208,591.2512001425649,0.26023139334753775,0.04983835273680559,Ujjani,krishna
3414.533017187881,13307.2185815621,4060.078415805294,0.07907370833934735,0.15656272544546157,Sardar Sarovar,narmada
409.927610439027,1048.5041461923818,534.3498477775441,0.48490983349341554,0.4080726027470932,Ukai,tapi
