CRPS,RMSE,MAE,NSE,KGE,Reservoir,Basin
474.46217886927946,757.367992960212,519.6976880896921,-2.221146787196397,-0.19291155316067377,Nagarjuna Sagar,krishna
391.12441493310797,1093.1361767576475,438.8037239536316,0.7710716498229578,0.6235701875464853,Srisailam,krishna
729.0156195746805,2805.2900139143685,1056.8028246102742,0.6673335047376265,0.4325272584809876,Almatti,krishna
426.6350844649865,1558.5024496125143,573.3092432685359,0.5727614810643065,0.48971221267661946,Tungabhadra,krishna
231.5060327808446,394.3711400664677,265.28188496022364,0.3869980418677842,0.36095779552774043,Mettur,cauvery
220.46851988885794,725.9167474310568,287.5185123584093,0.27465786290511107,0.3148734165357808,Krishnaraja Sagara,cauvery
107.723382162411,275.9891795759091,128.47844685262407,0.17207120535106524,0.3607637637832388,Jayakwadi,godavari
451.0005292931027,1245.9142306032925,580.2120557786498,0.27409946316942757,0.06150019103700399,Ujjani,krishna
3401.848446331967,13294.67137059453,4041.255991597966,0.08080954950505936,0.15440086584312318,Sardar Sarovar,narmada
405.8188588966518,1047.0410030713565,531.0726979020437,0.4863464034732281,0.4072731480210352,Ukai,tapi
