dam,split,week,level_nse,pers_nse,clim_nse,n_samples,gross_tmc
nagarjuna_sagar,val,1,-0.8630201843186758,-0.863257618921009,-0.4156360108531292,365,408.2375471850739
nagarjuna_sagar,val,4,0.4276793291275838,0.42723112621304904,-0.47590057574435285,365,408.2375471850739
nagarjuna_sagar,val,12,-0.9678497503056986,-0.9763107268143516,-0.697117128061419,365,408.2375471850739
nagarjuna_sagar,test,1,-1.1037225837804558,-1.1252877478569956,-134.57402110758375,281,408.2375471850739
nagarjuna_sagar,test,4,0.3012346705489162,0.4102461567340725,-128.19281655621393,281,408.2375471850739
nagarjuna_sagar,test,12,-1.0939307898103086,-1.1275902422212716,-114.67405156858031,281,408.2375471850739
srisailam,val,1,0.6961663516601294,0.6710067118414388,-5.728923997157898,365,302.29354705053913
srisailam,val,4,0.07883197500033279,-0.4798843400499413,-6.324166861907466,365,302.29354705053913
srisailam,val,12,-1.1906730883976944,-1.3432597410771492,-6.2147785820481944,365,302.29354705053913
srisailam,test,1,0.8973577874518817,0.9077682156761147,0.6946327410849737,281,302.29354705053913
srisailam,test,4,0.6523346164099628,0.5827158233663354,0.7889313152985745,281,302.29354705053913
srisailam,test,12,-0.098247758098575,-0.7300767217306581,0.7043742956760051,281,302.29354705053913
almatti,val,1,-0.6672484757397297,-0.6792126773886915,-0.3158732595065872,365,121.48245348759984
almatti,val,4,0.17572411879563032,0.23600658343607417,-0.4334756736013603,365,121.48245348759984
almatti,val,12,-0.9067037420889252,-0.9065059487714164,-0.6780193314007246,365,121.48245348759984
almatti,test,1,-1.3454039174039258,-1.137165769584735,-27.144853499530573,281,121.48245348759984
almatti,test,4,-0.6520509587320349,0.3625761901198956,-25.73842651109369,281,121.48245348759984
almatti,test,12,-1.52362919290327,-1.247538492614773,-25.546361251426124,281,121.48245348759984
tungabhadra,val,1,-0.8653958333325604,-0.86709354522746,-1.1184819291399881,365,132.78314683528353
tungabhadra,val,4,0.4428651068161221,0.43887484099937224,-1.220156948316609,365,132.78314683528353
tungabhadra,val,12,-0.9013871946442291,-0.8990919966920734,-1.6386710548807533,365,132.78314683528353
tungabhadra,test,1,-1.1568623743617894,-1.1531106017679305,-566.6056861427923,281,132.78314683528353
tungabhadra,test,4,-0.21099211383615102,0.3129394289606593,-537.1840748151867,281,132.78314683528353
tungabhadra,test,12,-1.150711434310388,-1.0144961613080858,-435.50082739744727,281,132.78314683528353
mettur,val,1,-0.5386264541620949,-0.5393640710978804,-0.5378408004676354,365,93.44260811865963
mettur,val,4,0.515102102145968,0.5144933071483255,-0.3885790232826243,365,93.44260811865963
mettur,val,12,-0.5902845714109848,-0.5803775715559973,-0.2732596220164927,365,93.44260811865963
mettur,test,1,-0.5179166448218995,-0.49946722534112964,-12.804553231503785,281,93.44260811865963
mettur,test,4,-0.18691319285002717,-0.16074897980849734,-13.443485158158998,281,93.44260811865963
mettur,test,12,-1.0183830828420994,-1.0181547176380445,-13.397980931717909,281,93.44260811865963
krishnaraja_sagara,val,1,-0.8529315510417987,-0.8487963468839561,-0.8570363209792804,365,49.440533396116216
krishnaraja_sagara,val,4,0.4412986000207474,0.43063978195832886,-0.9421975538501812,365,49.440533396116216
krishnaraja_sagara,val,12,-0.7613425006250276,-0.7904106774179436,-1.2305597246352646,365,49.440533396116216
krishnaraja_sagara,test,1,-1.1051603179555913,-1.1166814143963806,-53.682230217760036,281,49.440533396116216
krishnaraja_sagara,test,4,0.3972298811714088,0.41102742657533087,-52.990755590808675,281,49.440533396116216
krishnaraja_sagara,test,12,-1.0666910386566228,-1.024880027742305,-43.622450881449716,281,49.440533396116216
jayakwadi,val,1,0.03093255876124612,0.03122992881253117,-0.14678228739158672,365,102.73036546378718
jayakwadi,val,4,-0.045140702302466584,-0.04100039921365872,-0.25156272679502023,365,102.73036546378718
jayakwadi,val,12,-1.105257573915003,-1.0754654813839353,-0.6419151592450774,365,102.73036546378718
jayakwadi,test,1,-0.6204093348407465,-0.6024510281632391,-3.9603147016787332,281,102.73036546378718
jayakwadi,test,4,-0.3312653964888779,-0.1346719900207045,-3.779834765335944,281,102.73036546378718
jayakwadi,test,12,-1.4875734196649173,-1.5417026968128962,-3.851900595109373,281,102.73036546378718
ujjani,val,1,0.715908010686064,0.7168659294826505,-4.710301541395637,365,110.88805347414636
ujjani,val,4,-1.4341980434005475,-1.4874903781057531,-6.725213476253521,365,110.88805347414636
ujjani,val,12,-1.4060197621379769,-1.8311789147244473,-7.686020159100835,365,110.88805347414636
ujjani,test,1,0.900571663854046,0.9110490539762087,-105.58546316271068,281,110.88805347414636
ujjani,test,4,-1.7897113782728016,-1.8032124236712659,-306.5916183398871,281,110.88805347414636
ujjani,test,12,-5.475321350727406,-5.254076477625296,-521.3086679364799,281,110.88805347414636
sardar_sarovar,val,1,0.5900701121461798,0.5889671379090488,-0.9640567369527209,365,335.48933375936
sardar_sarovar,val,4,-1.9328956411083444,-1.900132212856605,-1.0389947302761118,365,335.48933375936
sardar_sarovar,val,12,-0.48496334506618877,-0.4803501964813919,-0.5139585995696481,365,335.48933375936
sardar_sarovar,test,1,0.6919045844363394,0.6799654847517449,-0.12548556982878245,281,335.48933375936
sardar_sarovar,test,4,-1.1563499723619683,-1.124786698150631,-0.14416310248729092,281,335.48933375936
sardar_sarovar,test,12,-0.8503763226575392,-0.8779398474464688,-0.2780803740897333,281,335.48933375936
ukai,val,1,0.3863198145847626,0.39129920647311045,-0.3307924374195137,365,261.82293899914686
ukai,val,4,-1.4267432637626114,-1.4603964138860879,-0.28909872481668053,365,261.82293899914686
ukai,val,12,-0.6706926218811646,-0.7415673664973135,-0.22370149120552751,365,261.82293899914686
ukai,test,1,0.8725081476970544,0.8718128916036157,-0.1740381630907859,281,261.82293899914686
ukai,test,4,0.09161474702849903,0.05945757839732313,-0.07299591738138989,281,261.82293899914686
ukai,test,12,-7.647812714354085,-8.221271405833654,-1.638137996634243,281,261.82293899914686
