dam,split,week,level_nse,pers_nse,clim_nse,n_samples,gross_tmc
ujjani,val,1,0.715908010686064,0.7168659294826505,-4.710301541395637,365,110.88805347414636
ujjani,val,4,-1.4341980434005475,-1.4874903781057531,-6.725213476253521,365,110.88805347414636
ujjani,val,12,-1.4060197621379769,-1.8311789147244473,-7.686020159100835,365,110.88805347414636
ujjani,test,1,0.900571663854046,0.9110490539762087,-105.58546316271068,281,110.88805347414636
ujjani,test,4,-1.7897113782728016,-1.8032124236712659,-306.5916183398871,281,110.88805347414636
ujjani,test,12,-5.475321350727406,-5.254076477625296,-521.3086679364799,281,110.88805347414636
