Reservoir,NSE_mean,NSE_std,RMSE_mean,MAE_mean,seeds,persistence_NSE,climatology_NSE
Tungabhadra,0.6556229962664039,0.05248133852802482,3423.0356625839645,,3,0.611777197694476,0.542014161901293
Ukai,0.642067432430821,0.04209757123600104,1531.263771485943,,3,0.6504666893420303,0.7910796525177215
Mettur,0.6145941033723924,0.029783838488352313,2558.3168630086475,,3,0.3524780986316236,-2.375987989563614
Srisailam,0.6052429983522165,0.04601072645698353,8037.791859765425,,3,0.4175962837331021,0.452933653532244
Almatti,0.5909383239774618,0.03893114646299106,8551.047363307092,,3,0.48832914307964204,0.5332026785222601
Krishnaraja Sagara,0.5791246257381681,0.029888102518237102,2160.998381743934,,3,0.4587778615475785,0.3817373115868169
Sardar Sarovar,0.5137520363006406,0.048877750300530626,7123.102042818714,,3,0.3756984894516685,0.5302824344069511
Ujjani,0.5044646810089581,0.05601220418108043,3572.8070748008286,,3,0.338062839185432,0.3580020682090226
Nagarjuna Sagar,0.4125806628908628,0.04444681520045858,9713.692561288592,,3,0.16242105151317354,0.52620868117702
Jayakwadi,0.23570320937796774,0.025671114911197796,765.4750880849871,,3,-0.31760863455604715,0.36910218742433965
