Week,CRPS,RMSE,NSE,KGE,Reservoir,Basin
1,238.36374940771438,631.5213375391078,0.47344521675960216,0.4356449556134231,Nagarjuna Sagar,krishna
1,379.8873813289887,1231.8463023867773,0.70928724130624,0.5986202866285129,Srisailam,krishna
1,684.2297682711898,2640.5598530583625,0.7052555994191596,0.4777547348722796,Almatti,krishna
1,389.99092329970347,1521.4543870493474,0.5928323213031812,0.5089179390315135,Tungabhadra,krishna
1,884.6221725212501,1539.6649990738058,-3.308349830133575,-0.4577364184079613,Mettur,cauvery
1,216.73939573880554,709.6922464550305,0.3067188429556742,0.3724471427629622,Krishnaraja Sagara,cauvery
1,39.72553035055288,35.521437914325965,,,Jayakwadi,godavari
1,510.06288197587565,1275.3356422041193,0.23941142729185716,0.08200990323216328,Ujjani,krishna
1,2885.950739765835,11760.229743841883,-0.10053156561804388,0.031140061973906286,Sardar Sarovar,narmada
1,383.0543467026827,978.1922324647525,0.5516766339224888,0.5164171900324986,Ukai,tapi
2,311.2409556833371,860.2919619911972,0.023626940690110065,-0.0711156965846611,Nagarjuna Sagar,krishna
2,586.0234741427442,2163.9984179396415,0.10314163961608458,0.03316397234885937,Srisailam,krishna
2,1123.4726942222192,4389.253974396782,0.18560527232236956,0.007388815110083824,Almatti,krishna
2,560.5145658809173,2198.191934961521,0.15006318190839274,0.024259682227196322,Tungabhadra,krishna
2,1083.27086230919,1543.4804838739792,-3.5534059167356578,-0.697651957465484,Mettur,cauvery
2,256.9057144531313,807.0077081422454,0.10349496795359969,0.040551227376807386,Krishnaraja Sagara,cauvery
2,45.37647945321256,29.070589967925198,,,Jayakwadi,godavari
2,582.7670476267512,1511.0413810949233,-0.06771051005762119,-0.2795165873654504,Ujjani,krishna
2,3351.035601937724,11603.452688569569,-0.07309286082096089,-0.3333024717528805,Sardar Sarovar,narmada
2,452.80433531932624,1216.0004220991075,0.3071122974215895,0.18485835328711853,Ukai,tapi
3,383.1300986524131,934.3072556221712,-0.1498746592097162,-0.3050614497728876,Nagarjuna Sagar,krishna
3,760.2955626447274,2383.041776009081,-0.08651307793698026,-0.2461059787755544,Srisailam,krishna
3,1444.4744919724842,4934.4158491490725,-0.029259834299203646,-0.2519838826044183,Almatti,krishna
3,672.111541739743,2385.9507208380023,-0.0013326137887357259,-0.17735209135331664,Tungabhadra,krishna
3,1115.302303704684,1534.0210993280857,-3.8927896991122557,-0.7650953544117944,Mettur,cauvery
3,257.30536085024397,803.7839365916207,0.1111499551062397,0.02676608054263896,Krishnaraja Sagara,cauvery
3,51.93821338125188,36.6648196985843,,,Jayakwadi,godavari
3,568.2254386396403,1530.7622319627137,-0.09576210906058691,-0.3205797526047309,Ujjani,krishna
3,3465.69372317279,11615.309244592469,-0.07413112437400438,-0.39720626216753874,Sardar Sarovar,narmada
3,512.7560217948175,1345.7045558978357,0.15106479543755358,0.06252984460737554,Ukai,tapi
4,408.8992748205005,991.2292796427017,-0.29417115956312734,-0.4883832633288452,Nagarjuna Sagar,krishna
4,831.0523140386878,2465.2910684687563,-0.16269409656740952,-0.34212207627248237,Srisailam,krishna
4,1653.7789960369914,5160.054702190357,-0.12554313283076413,-0.39303368713481457,Almatti,krishna
4,780.8722356368129,2515.045688347542,-0.1126208140967011,-0.3303997254329396,Tungabhadra,krishna
4,1202.9705128581452,1881.6088378983397,-6.620725995076783,-1.246875475626,Mettur,cauvery
4,302.7816874435556,866.1142730408365,-0.030708347958911864,-0.1391010390018268,Krishnaraja Sagara,cauvery
4,54.13229220616745,37.07054975764744,,,Jayakwadi,godavari
4,614.7430646458627,1607.744241994806,-0.208745102514722,-0.46160300423349687,Ujjani,krishna
4,3392.252040412474,11534.610525566613,-0.05923327032604497,-0.35739721523687273,Sardar Sarovar,narmada
4,571.4155964501796,1443.410928899888,0.02295766970157176,-0.05749873139396189,Ukai,tapi
5,426.3823902147128,971.3810741087331,-0.241588972621545,-0.4480245642238643,Nagarjuna Sagar,krishna
5,852.8520085489279,2443.424893853727,-0.14142839441000055,-0.34011485611730197,Srisailam,krishna
5,1796.6044193089162,5151.28116502404,-0.12171891004615754,-0.43922758520694827,Almatti,krishna
5,840.6823784272632,2529.0829763330744,-0.12507527083001824,-0.3859317296051161,Tungabhadra,krishna
5,1186.7665138808873,1765.0202007816251,-5.641392954002162,-1.1879331226812049,Mettur,cauvery
5,333.28626295386414,877.5206415066666,-0.057717226489840456,-0.1860382483519396,Krishnaraja Sagara,cauvery
5,51.10888574536811,29.104777125762798,,,Jayakwadi,godavari
5,657.4536780702579,1578.362961219318,-0.1649695224461607,-0.4392444921532408,Ujjani,krishna
5,3559.274175727922,11672.07693525962,-0.0858586937978092,-0.4327091509309873,Sardar Sarovar,narmada
5,603.1007924141965,1468.6040942749341,-0.011604539852099638,-0.12623104688482667,Ukai,tapi
6,481.4461976527528,946.6369374158093,-0.1771305230007394,-0.46187790396216744,Nagarjuna Sagar,krishna
6,908.4581933994551,2382.1706010518615,-0.08361277781668175,-0.39122603948745693,Srisailam,krishna
6,1859.7803041352317,5068.104931723701,-0.08578722470193867,-0.48872421867472604,Almatti,krishna
6,871.6384088200168,2494.8775376600074,-0.09484814845395229,-0.43546244431696346,Tungabhadra,krishna
6,1339.0327060328193,2063.97008457597,-8.069943077872995,-1.5916606982260344,Mettur,cauvery
6,351.52996909091286,867.4172162537373,-0.03367522875110085,-0.2070197620300549,Krishnaraja Sagara,cauvery
6,57.93457748139049,36.854400219170614,,,Jayakwadi,godavari
6,696.3247574394261,1617.2111346278223,-0.22302193826420091,-0.5495397932207511,Ujjani,krishna
6,3650.9621872062808,11733.66866562359,-0.09941424543929434,-0.5281670905592655,Sardar Sarovar,narmada
6,648.3508705490557,1500.7154069797862,-0.05649940925109864,-0.2360741106287878,Ukai,tapi
7,524.18797966642,938.394662321645,-0.15453392223933982,-0.4276268287742713,Nagarjuna Sagar,krishna
7,956.5311848150712,2402.3708292734136,-0.10046091392217082,-0.42712284253136756,Srisailam,krishna
7,1882.7478422459453,5070.196988166245,-0.08668381110646428,-0.5079264662847469,Almatti,krishna
7,895.3099844893279,2473.368994715602,-0.07605184314933577,-0.4155310281165323,Tungabhadra,krishna
7,1453.2249865663923,2241.1212825200614,-9.76115206304723,-1.8107247730693157,Mettur,cauvery
7,358.16716186956575,870.707099839339,-0.04184165514929905,-0.23451339532367732,Krishnaraja Sagara,cauvery
7,67.55011811403814,42.719199925278396,,,Jayakwadi,godavari
7,730.6948490671339,1646.999020946223,-0.2684912731074669,-0.596060399207651,Ujjani,krishna
7,3632.826261820661,11633.1250962946,-0.08092338618553163,-0.48295237490178744,Sardar Sarovar,narmada
7,649.6919277127088,1487.568788586003,-0.0382714798583772,-0.21908980424262636,Ukai,tapi
8,532.6925460084948,940.3903639469996,-0.15807482621276536,-0.4664540198930822,Nagarjuna Sagar,krishna
8,973.1596173673036,2390.3644338001645,-0.08880585031713562,-0.4744944356573111,Srisailam,krishna
8,1842.8121489026603,5032.390482955117,-0.07053826704218569,-0.5504707257987895,Almatti,krishna
8,912.8360675802286,2440.0101721218157,-0.04722170817240667,-0.41114338784854687,Tungabhadra,krishna
8,1486.148958974902,2338.781597625886,-10.681851355028053,-1.9792007762393231,Mettur,cauvery
8,349.66573073041536,884.1355937502398,-0.07459614064626363,-0.3210291866728032,Krishnaraja Sagara,cauvery
8,65.77493064841721,46.42070737591557,,,Jayakwadi,godavari
8,731.6379553691052,1707.2249866721238,-0.3629575147973745,-0.7548109230518416,Ujjani,krishna
8,3640.653557307877,11680.78152869345,-0.09033690676984474,-0.5494966542444408,Sardar Sarovar,narmada
8,663.4833200995929,1511.8075980926435,-0.07253479782774974,-0.2872203032308809,Ukai,tapi
9,536.0265959572492,956.1578817600297,-0.1973161591285295,-0.535122577284258,Nagarjuna Sagar,krishna
9,972.6791505612781,2388.930126816514,-0.08768971068280718,-0.5138540534129064,Srisailam,krishna
9,1800.936153412979,5022.275630706023,-0.06623913555448491,-0.5698068066759825,Almatti,krishna
