Week,CRPS,RMSE,MAE,NSE,KGE,Reservoir,Basin
3,1458.1981086914832,4915.900586050126,1713.1375001440651,-0.021550203141258883,-0.1228456642546365,Almatti,krishna
3,743.829378241809,2422.364845854693,842.240733351565,-0.032130312335440614,-0.05013075017500768,Tungabhadra,krishna
3,305.84166980692873,436.95211763343565,275.45950716149815,0.26524558847256785,0.3215876202525594,Mettur,cauvery
3,274.98862536981045,817.8093252116831,334.8040683227824,0.07985987405855044,0.07410833564347008,Krishnaraja Sagara,cauvery
3,115.47067883220909,305.7154300212696,136.64222744571197,-0.015882769252466566,-0.08905925548694338,Jayakwadi,godavari
3,536.7480425810172,1421.7953723189603,668.091310019596,0.054688333606509154,-0.031053216679051587,Ujjani,krishna
3,4295.302948281207,13777.615098185619,4412.015435909516,0.014774461325990362,-0.1262335833022843,Sardar Sarovar,narmada
3,486.7819457953539,1261.6874368395643,612.7674591038848,0.25375977464572363,0.20961726753822996,Ukai,tapi
4,730.3291003272585,912.7561762389954,688.1932241284655,-3.668390530548244,-0.4897831065614615,Nagarjuna Sagar,krishna
4,897.6911099841827,2702.2053616425087,983.1213720764445,-0.39690144151824636,-0.2092454926766214,Srisailam,krishna
4,1672.3888166397223,5268.033280022951,1895.2506924599993,-0.17314191279065194,-0.32302774139848167,Almatti,krishna
4,860.8763242038375,2584.3748223603657,923.5048151041887,-0.17480672844312628,-0.21977047440503727,Tungabhadra,krishna
4,309.119712699631,405.0516089440908,264.80339850135596,0.372336430343969,0.37279333978123563,Mettur,cauvery
4,327.9202358276989,895.1872973926131,349.99519814968244,-0.10106567581499082,-0.12527753886915494,Krishnaraja Sagara,cauvery
4,124.48327736753377,314.6322957676811,138.06782511854976,-0.07600793666642813,-0.21088553609280947,Jayakwadi,godavari
4,595.0982788137088,1511.9369796169951,740.887986321325,-0.06897661254306908,-0.1673345132155024,Ujjani,krishna
4,4421.337900507006,13705.009082244791,4628.516833925261,0.02439829611697819,-0.12850128267393957,Sardar Sarovar,narmada
4,534.8610002777901,1385.5210856961269,663.7193376075752,0.099757150708214,0.08069389206882671,Ukai,tapi
