Condition,CRPS,RMSE,NSE,KGE
El Nino,860.2016100207436,2683.3039397897655,-0.015714283004031583,0.3631343137041166
Neutral,272.23900077372525,400.09589218550025,-638.8759822480212,-21.62305843700255
