Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Nagarjuna Sagar,203.26,120.07
2010-01-02,Nagarjuna Sagar,239.728,84.402
2010-01-03,Nagarjuna Sagar,283.067,69.923
2010-01-04,Nagarjuna Sagar,250.733,53.325
2010-01-05,Nagarjuna Sagar,249.936,53.678
2010-01-06,Nagarjuna Sagar,245.485,61.094
2010-01-07,Nagarjuna Sagar,245.54,61.448
2010-01-08,Nagarjuna Sagar,242.24,60.035
2010-01-09,Nagarjuna Sagar,240.349,180.458
2010-01-10,Nagarjuna Sagar,291.488,180.458
2010-01-11,Nagarjuna Sagar,251.81,180.458
2010-01-12,Nagarjuna Sagar,246.888,180.458
2010-01-13,Nagarjuna Sagar,241.45,177.403
2010-01-14,Nagarjuna Sagar,270.718,174.349
2010-01-15,Nagarjuna Sagar,259.951,171.294
2010-01-16,Nagarjuna Sagar,422.464,168.239
2010-01-17,Nagarjuna Sagar,415.249,165.184
2010-01-18,Nagarjuna Sagar,351.48,162.13
2010-01-19,Nagarjuna Sagar,259.806,159.075
2010-01-20,Nagarjuna Sagar,249.003,156.02
2010-01-21,Nagarjuna Sagar,231.661,152.965
2010-01-22,Nagarjuna Sagar,202.052,149.911
2010-01-23,Nagarjuna Sagar,161.77,146.856
2010-01-24,Nagarjuna Sagar,203.598,143.801
2010-01-25,Nagarjuna Sagar,184.08,140.747
2010-01-26,Nagarjuna Sagar,200.21,137.692
2010-01-27,Nagarjuna Sagar,245.884,134.637
2010-01-28,Nagarjuna Sagar,303.738,131.582
2010-01-29,Nagarjuna Sagar,253.462,128.528
2010-01-30,Nagarjuna Sagar,269.865,125.473
2010-01-31,Nagarjuna Sagar,235.686,122.418
2010-02-01,Nagarjuna Sagar,293.966,119.364
2010-02-02,Nagarjuna Sagar,280.325,82.636
2010-02-03,Nagarjuna Sagar,266.684,68.864
2010-02-04,Nagarjuna Sagar,283.909,52.619
2010-02-05,Nagarjuna Sagar,291.488,53.678
2010-02-06,Nagarjuna Sagar,274.796,61.448
2010-02-07,Nagarjuna Sagar,295.757,61.448
2010-02-08,Nagarjuna Sagar,291.01,60.741
2010-02-09,Nagarjuna Sagar,284.493,180.458
2010-02-10,Nagarjuna Sagar,285.705,180.458
2010-02-11,Nagarjuna Sagar,283.521,180.458
2010-02-12,Nagarjuna Sagar,295.757,180.458
2010-02-13,Nagarjuna Sagar,247.483,176.802
2010-02-14,Nagarjuna Sagar,228.305,173.146
2010-02-15,Nagarjuna Sagar,254.54,169.49
2010-02-16,Nagarjuna Sagar,277.386,165.834
2010-02-17,Nagarjuna Sagar,272.803,162.177
2010-02-18,Nagarjuna Sagar,292.239,158.521
2010-02-19,Nagarjuna Sagar,280.894,154.865
2010-02-20,Nagarjuna Sagar,274.052,151.209
2010-02-21,Nagarjuna Sagar,254.779,147.553
2010-02-22,Nagarjuna Sagar,265.48,143.897
2010-02-23,Nagarjuna Sagar,264.988,140.241
2010-02-24,Nagarjuna Sagar,274.529,136.585
2010-02-25,Nagarjuna Sagar,297.085,132.929
2010-02-26,Nagarjuna Sagar,306.883,129.272
2010-02-27,Nagarjuna Sagar,283.067,125.616
2010-02-28,Nagarjuna Sagar,274.796,121.96
2010-03-01,Nagarjuna Sagar,281.083,118.304
2010-03-02,Nagarjuna Sagar,266.322,81.93
2010-03-03,Nagarjuna Sagar,282.234,67.451
2010-03-04,Nagarjuna Sagar,280.862,51.913
2010-03-05,Nagarjuna Sagar,274.723,54.031
2010-03-06,Nagarjuna Sagar,303.234,61.448
2010-03-07,Nagarjuna Sagar,300.062,61.448
2010-03-08,Nagarjuna Sagar,314.079,62.507
2010-03-09,Nagarjuna Sagar,299.745,180.458
2010-03-10,Nagarjuna Sagar,306.652,180.458
2010-03-11,Nagarjuna Sagar,297.772,180.458
2010-03-12,Nagarjuna Sagar,286.443,180.458
2010-03-13,Nagarjuna Sagar,303.592,177.35
2010-03-14,Nagarjuna Sagar,304.407,174.243
2010-03-15,Nagarjuna Sagar,283.634,171.135
2010-03-16,Nagarjuna Sagar,295.757,168.027
2010-03-17,Nagarjuna Sagar,310.224,164.919
2010-03-18,Nagarjuna Sagar,296.795,161.812
2010-03-19,Nagarjuna Sagar,276.672,158.704
2010-03-20,Nagarjuna Sagar,279.821,155.596
2010-03-21,Nagarjuna Sagar,313.213,152.489
2010-03-22,Nagarjuna Sagar,311.835,149.381
2010-03-23,Nagarjuna Sagar,272.962,146.273
2010-03-24,Nagarjuna Sagar,309.826,143.166
2010-03-25,Nagarjuna Sagar,273.547,140.058
2010-03-26,Nagarjuna Sagar,312.461,136.95
2010-03-27,Nagarjuna Sagar,309.147,133.843
2010-03-28,Nagarjuna Sagar,283.067,130.735
2010-03-29,Nagarjuna Sagar,308.256,127.627
2010-03-30,Nagarjuna Sagar,303.812,124.52
2010-03-31,Nagarjuna Sagar,299.473,121.412
2010-04-01,Nagarjuna Sagar,329.04,118.304
2010-04-02,Nagarjuna Sagar,331.292,81.224
2010-04-03,Nagarjuna Sagar,299.952,67.451
2010-04-04,Nagarjuna Sagar,266.678,52.266
2010-04-05,Nagarjuna Sagar,283.714,54.031
2010-04-06,Nagarjuna Sagar,273.246,62.154
2010-04-07,Nagarjuna Sagar,287.532,61.094
2010-04-08,Nagarjuna Sagar,288.73,67.098
2010-04-09,Nagarjuna Sagar,236.99,180.458
2010-04-10,Nagarjuna Sagar,248.196,180.458
2010-04-11,Nagarjuna Sagar,250.887,180.458
2010-04-12,Nagarjuna Sagar,261.258,180.458
2010-04-13,Nagarjuna Sagar,238.423,177.001
2010-04-14,Nagarjuna Sagar,231.977,173.544
2010-04-15,Nagarjuna Sagar,231.566,170.087
2010-04-16,Nagarjuna Sagar,191.362,166.629
2010-04-17,Nagarjuna Sagar,126.757,163.172
2010-04-18,Nagarjuna Sagar,62.153,159.715
2010-04-19,Nagarjuna Sagar,58.707,156.258
2010-04-20,Nagarjuna Sagar,55.262,152.801
2010-04-21,Nagarjuna Sagar,51.817,149.344
2010-04-22,Nagarjuna Sagar,48.372,145.887
2010-04-23,Nagarjuna Sagar,44.927,142.43
2010-04-24,Nagarjuna Sagar,42.36,138.973
2010-04-25,Nagarjuna Sagar,39.237,135.515
2010-04-26,Nagarjuna Sagar,38.031,132.058
2010-04-27,Nagarjuna Sagar,36.826,128.601
2010-04-28,Nagarjuna Sagar,35.62,125.144
2010-04-29,Nagarjuna Sagar,34.415,121.687
2010-04-30,Nagarjuna Sagar,33.209,118.23
2010-05-01,Nagarjuna Sagar,28.266,114.773
2010-05-02,Nagarjuna Sagar,23.323,70.629
2010-05-03,Nagarjuna Sagar,24.404,68.51
2010-05-04,Nagarjuna Sagar,22.958,51.559
2010-05-05,Nagarjuna Sagar,22.584,54.031
2010-05-06,Nagarjuna Sagar,20.692,62.154
2010-05-07,Nagarjuna Sagar,22.813,61.094
2010-05-08,Nagarjuna Sagar,22.456,69.217
2010-05-09,Nagarjuna Sagar,20.733,180.458
2010-05-10,Nagarjuna Sagar,16.795,180.458
2010-05-11,Nagarjuna Sagar,17.618,180.458
2010-05-12,Nagarjuna Sagar,16.129,180.458
2010-05-13,Nagarjuna Sagar,16.758,177.121
2010-05-14,Nagarjuna Sagar,15.976,173.783
2010-05-15,Nagarjuna Sagar,15.706,170.446
2010-05-16,Nagarjuna Sagar,17.566,167.109
2010-05-17,Nagarjuna Sagar,15.632,163.772
2010-05-18,Nagarjuna Sagar,15.781,160.435
2010-05-19,Nagarjuna Sagar,18.079,157.097
2010-05-20,Nagarjuna Sagar,20.882,153.76
2010-05-21,Nagarjuna Sagar,110.283,150.423
2010-05-22,Nagarjuna Sagar,199.683,147.086
2010-05-23,Nagarjuna Sagar,104.922,143.748
2010-05-24,Nagarjuna Sagar,85.962,140.411
2010-05-25,Nagarjuna Sagar,67.002,137.074
2010-05-26,Nagarjuna Sagar,48.042,133.737
2010-05-27,Nagarjuna Sagar,29.082,130.399
2010-05-28,Nagarjuna Sagar,24.173,127.062
