Split,Reservoir,Week,Model,NSE,RMSE_TMC
test,Krishnaraja Sagara,8,v1_median,-36.769,16.64
test,Krishnaraja Sagara,8,persist,-0.532,3.35
test,Krishnaraja Sagara,8,clim,-55.643,20.38
test,Krishnaraja Sagara,9,v2_ridge,-6.507,7.56
test,Krishnaraja Sagara,9,v1_median,-37.628,17.15
test,Krishnaraja Sagara,9,persist,0.577,1.79
test,Krishnaraja Sagara,9,clim,-53.937,20.45
test,Krishnaraja Sagara,10,v2_ridge,-6.014,7.54
test,Krishnaraja Sagara,10,v1_median,-38.718,17.94
test,Krishnaraja Sagara,10,persist,-1.406,4.41
test,Krishnaraja Sagara,10,clim,-52.415,20.8
test,Krishnaraja Sagara,11,v2_ridge,-5.278,7.48
test,Krishnaraja Sagara,11,v1_median,-37.905,18.63
test,Krishnaraja Sagara,11,persist,-1.84,5.03
test,Krishnaraja Sagara,11,clim,-48.108,20.93
test,Krishnaraja Sagara,12,v2_ridge,-4.542,7.37
test,Krishnaraja Sagara,12,v1_median,-36.504,19.17
test,Krishnaraja Sagara,12,persist,-0.999,4.43
test,Krishnaraja Sagara,12,clim,-44.317,21.07
test,Mettur,1,v2_ridge,-8.44,24.02
test,Mettur,1,v1_median,-4.255,17.92
test,Mettur,1,persist,-0.493,9.55
test,Mettur,1,clim,-13.057,29.31
test,Mettur,2,v2_ridge,-10.147,24.91
test,Mettur,2,v1_median,-13.325,28.24
test,Mettur,2,persist,-1.595,12.02
test,Mettur,2,clim,-14.245,29.13
test,Mettur,3,v2_ridge,-10.604,25.11
test,Mettur,3,v1_median,-16.432,30.78
test,Mettur,3,persist,-1.547,11.77
test,Mettur,3,clim,-14.095,28.64
test,Mettur,4,v2_ridge,-10.331,25.16
test,Mettur,4,v1_median,-15.357,30.23
test,Mettur,4,persist,-0.148,8.01
test,Mettur,4,clim,-13.466,28.43
test,Mettur,5,v2_ridge,-8.663,24.72
test,Mettur,5,v1_median,-12.156,28.84
test,Mettur,5,persist,-0.451,9.58
test,Mettur,5,clim,-12.404,29.11
test,Mettur,6,v2_ridge,-8.254,24.59
test,Mettur,6,v1_median,-10.73,27.68
test,Mettur,6,persist,-1.515,12.82
test,Mettur,6,clim,-12.599,29.81
