Split,Reservoir,Week,NSE_gnn_ops,NSE_persist,NSE_clim,RMSE_gnn_ops_TMC
test,Tungabhadra,7,-2.539,-2.066,-569.02,3.792
test,Tungabhadra,8,-2.312,-0.57,-543.02,3.724
test,Tungabhadra,9,-1.946,0.433,-542.581,3.506
test,Tungabhadra,10,-2.06,-1.676,-575.326,3.505
test,Tungabhadra,11,-1.897,-2.121,-532.87,3.523
test,Tungabhadra,12,-1.333,-1.011,-426.661,3.51
test,Ujjani,1,0.842,0.911,-105.988,1.803
test,Ujjani,2,0.627,0.549,-150.762,2.342
test,Ujjani,3,0.427,-0.29,-217.698,2.432
test,Ujjani,4,0.281,-1.813,-307.986,2.302
test,Ujjani,5,-0.203,-3.932,-408.23,2.596
test,Ujjani,6,-0.65,-6.023,-484.749,2.796
test,Ujjani,7,-0.595,-7.251,-512.965,2.677
test,Ujjani,8,-0.556,-7.441,-507.307,2.659
test,Ujjani,9,-0.731,-7.022,-504.678,2.807
test,Ujjani,10,-0.84,-6.386,-527.847,2.828
test,Ujjani,11,-0.944,-5.682,-529.6,2.902
test,Ujjani,12,-0.951,-5.264,-523.261,2.925
test,Ukai,1,0.926,0.872,-0.16,15.823
test,Ukai,2,0.78,0.637,-0.126,27.446
test,Ukai,3,0.607,0.35,-0.078,36.304
test,Ukai,4,0.434,0.059,-0.068,42.087
test,Ukai,5,0.228,-0.264,-0.112,46.14
test,Ukai,6,-0.06,-0.664,-0.228,49.945
test,Ukai,7,-0.474,-1.188,-0.268,53.299
test,Ukai,8,-1.096,-1.937,-0.31,55.869
test,Ukai,9,-2.149,-3.181,-0.451,57.287
test,Ukai,10,-4.154,-5.623,-1.186,57.831
test,Ukai,11,-5.874,-7.786,-1.615,58.258
test,Ukai,12,-6.195,-8.209,-1.713,58.775
val,Almatti,1,0.575,-0.679,-0.338,13.225
val,Almatti,2,0.148,-1.371,-0.358,18.976
val,Almatti,3,0.045,-1.056,-0.418,20.361
val,Almatti,4,0.705,0.236,-0.483,11.308
val,Almatti,5,0.735,-0.375,-0.527,10.646
val,Almatti,6,0.537,-1.251,-0.514,14.216
val,Almatti,7,0.346,-1.244,-0.565,17.114
val,Almatti,8,0.523,-0.483,-0.636,14.607
val,Almatti,9,0.75,-0.221,-0.693,10.446
val,Almatti,10,0.735,-1.19,-0.682,10.862
val,Almatti,11,0.549,-1.372,-0.733,14.35
val,Almatti,12,0.489,-0.907,-0.803,15.273
val,Jayakwadi,1,0.676,0.031,-0.175,8.835
val,Jayakwadi,2,0.331,-0.554,-0.167,13.061
val,Jayakwadi,3,0.308,-0.493,-0.204,13.608
val,Jayakwadi,4,0.641,-0.041,-0.262,9.869
val,Jayakwadi,5,0.607,-0.424,-0.312,10.152
val,Jayakwadi,6,0.478,-0.846,-0.286,11.861
val,Jayakwadi,7,0.41,-0.982,-0.336,12.593
val,Jayakwadi,8,0.573,-0.87,-0.408,10.448
val,Jayakwadi,9,0.665,-0.961,-0.481,8.855
val,Jayakwadi,10,0.678,-1.047,-0.451,8.781
val,Jayakwadi,11,0.612,-1.074,-0.513,9.633
val,Jayakwadi,12,0.654,-1.075,-0.6,8.87
val,Krishnaraja Sagara,1,0.627,-0.849,-0.917,4.588
val,Krishnaraja Sagara,2,0.104,-1.836,-0.91,7.282
val,Krishnaraja Sagara,3,0.138,-1.212,-0.956,7.301
val,Krishnaraja Sagara,4,0.884,0.431,-1.058,2.69
val,Krishnaraja Sagara,5,0.934,-0.22,-1.169,2.025
val,Krishnaraja Sagara,6,0.666,-1.488,-1.122,4.642
val,Krishnaraja Sagara,7,0.523,-1.448,-1.15,5.653
val,Krishnaraja Sagara,8,0.811,-0.237,-1.249,3.568
val,Krishnaraja Sagara,9,0.985,0.239,-1.385,1.001
val,Krishnaraja Sagara,10,0.863,-1.123,-1.341,3.06
val,Krishnaraja Sagara,11,0.71,-1.532,-1.366,4.534
val,Krishnaraja Sagara,12,0.788,-0.79,-1.455,3.895
val,Mettur,1,0.524,-0.539,-0.529,12.411
val,Mettur,2,0.005,-1.747,-0.445,18.974
val,Mettur,3,0.273,-0.939,-0.421,16.826
val,Mettur,4,0.945,0.514,-0.397,4.693
val,Mettur,5,0.935,0.008,-0.355,5.077
val,Mettur,6,0.616,-1.396,-0.296,12.601
val,Mettur,7,0.517,-1.34,-0.297,14.292
val,Mettur,8,0.916,-0.046,-0.309,5.984
val,Mettur,9,0.998,0.242,-0.31,0.813
val,Mettur,10,0.874,-0.991,-0.267,7.383
val,Mettur,11,0.725,-1.478,-0.272,11.014
val,Mettur,12,0.908,-0.58,-0.29,6.396
val,Nagarjuna Sagar,1,0.516,-0.863,-0.436,29.414
val,Nagarjuna Sagar,2,-0.285,-2.052,-0.446,48.424
val,Nagarjuna Sagar,3,-0.305,-1.373,-0.479,49.442
val,Nagarjuna Sagar,4,0.73,0.427,-0.533,22.437
val,Nagarjuna Sagar,5,0.883,-0.253,-0.577,14.601
val,Nagarjuna Sagar,6,0.286,-1.748,-0.572,36.328
val,Nagarjuna Sagar,7,-0.072,-1.74,-0.6,44.967
val,Nagarjuna Sagar,8,0.469,-0.318,-0.669,31.62
val,Nagarjuna Sagar,9,0.996,0.278,-0.74,2.77
val,Nagarjuna Sagar,10,0.69,-1.325,-0.735,23.926
val,Nagarjuna Sagar,11,0.234,-1.897,-0.761,37.975
