Split,Reservoir,Week,Model,NSE,RMSE_TMC
test,Mettur,2,clim,-14.245,29.129
test,Mettur,3,gnn,-16.432,30.781
test,Mettur,3,persist,-1.547,11.766
test,Mettur,3,clim,-14.095,28.644
test,Mettur,4,gnn,-15.357,30.233
test,Mettur,4,persist,-0.148,8.01
test,Mettur,4,clim,-13.466,28.432
test,Mettur,5,gnn,-12.156,28.839
test,Mettur,5,persist,-0.451,9.578
test,Mettur,5,clim,-12.404,29.109
test,Mettur,6,gnn,-10.73,27.682
test,Mettur,6,persist,-1.515,12.819
test,Mettur,6,clim,-12.599,29.806
test,Mettur,7,gnn,-9.491,26.182
test,Mettur,7,persist,-1.618,13.08
test,Mettur,7,clim,-12.574,29.781
test,Mettur,8,gnn,-8.034,24.355
test,Mettur,8,persist,-0.72,10.628
test,Mettur,8,clim,-12.313,29.566
test,Mettur,9,gnn,-6.86,22.351
test,Mettur,9,persist,-0.09,8.323
test,Mettur,9,clim,-12.775,29.588
test,Mettur,10,gnn,-6.889,22.378
test,Mettur,10,persist,-1.33,12.161
test,Mettur,10,clim,-13.182,30.004
test,Mettur,11,gnn,-7.718,23.511
test,Mettur,11,persist,-1.683,13.042
test,Mettur,11,clim,-13.326,30.137
test,Mettur,12,gnn,-8.16,23.962
test,Mettur,12,persist,-1.038,11.301
test,Mettur,12,clim,-13.575,30.226
test,Nagarjuna Sagar,1,gnn,-23.275,32.574
test,Nagarjuna Sagar,1,persist,-1.127,9.641
test,Nagarjuna Sagar,1,clim,-139.394,78.338
test,Nagarjuna Sagar,2,gnn,-40.496,42.143
test,Nagarjuna Sagar,2,persist,-2.292,11.869
test,Nagarjuna Sagar,2,clim,-141.011,77.962
test,Nagarjuna Sagar,3,gnn,-52.901,48.524
test,Nagarjuna Sagar,3,persist,-1.737,10.934
test,Nagarjuna Sagar,3,clim,-135.728,77.284
test,Nagarjuna Sagar,4,gnn,-66.946,54.895
test,Nagarjuna Sagar,4,persist,0.413,5.1
test,Nagarjuna Sagar,4,clim,-131.643,76.7
test,Nagarjuna Sagar,5,gnn,-81.986,60.503
test,Nagarjuna Sagar,5,persist,-0.346,7.707
test,Nagarjuna Sagar,5,clim,-134.923,77.432
test,Nagarjuna Sagar,6,gnn,-98.605,65.217
test,Nagarjuna Sagar,6,persist,-2.082,11.472
test,Nagarjuna Sagar,6,clim,-141.443,77.991
test,Nagarjuna Sagar,7,gnn,-105.36,67.612
test,Nagarjuna Sagar,7,persist,-2.13,11.599
test,Nagarjuna Sagar,7,clim,-137.671,77.202
test,Nagarjuna Sagar,8,gnn,-113.652,70.986
test,Nagarjuna Sagar,8,persist,-0.493,8.101
test,Nagarjuna Sagar,8,clim,-132.278,76.535
test,Nagarjuna Sagar,9,gnn,-123.411,74.727
test,Nagarjuna Sagar,9,persist,0.541,4.541
test,Nagarjuna Sagar,9,clim,-130.559,76.843
test,Nagarjuna Sagar,10,gnn,-135.789,79.341
test,Nagarjuna Sagar,10,persist,-1.503,10.732
test,Nagarjuna Sagar,10,clim,-130.818,77.886
test,Nagarjuna Sagar,11,gnn,-125.278,78.155
test,Nagarjuna Sagar,11,persist,-2.017,12.081
test,Nagarjuna Sagar,11,clim,-123.378,77.565
test,Nagarjuna Sagar,12,gnn,-103.907,72.839
test,Nagarjuna Sagar,12,persist,-1.113,10.338
test,Nagarjuna Sagar,12,clim,-117.716,77.484
test,Sardar Sarovar,1,gnn,0.092,32.155
test,Sardar Sarovar,1,persist,0.676,19.194
test,Sardar Sarovar,1,clim,-0.121,35.716
test,Sardar Sarovar,2,gnn,-1.682,54.32
test,Sardar Sarovar,2,persist,0.076,31.88
test,Sardar Sarovar,2,clim,-0.125,35.171
test,Sardar Sarovar,3,gnn,-3.621,72.192
test,Sardar Sarovar,3,persist,-0.616,42.687
test,Sardar Sarovar,3,clim,-0.117,35.5
test,Sardar Sarovar,4,gnn,-4.73,83.794
test,Sardar Sarovar,4,persist,-1.139,51.199
test,Sardar Sarovar,4,clim,-0.143,37.429
test,Sardar Sarovar,5,gnn,-5.389,90.145
test,Sardar Sarovar,5,persist,-1.467,56.011
test,Sardar Sarovar,5,clim,-0.164,38.482
test,Sardar Sarovar,6,gnn,-5.817,92.843
test,Sardar Sarovar,6,persist,-1.696,58.388
test,Sardar Sarovar,6,clim,-0.18,38.625
test,Sardar Sarovar,7,gnn,-6.119,93.093
test,Sardar Sarovar,7,persist,-1.838,58.781
test,Sardar Sarovar,7,clim,-0.177,37.852
test,Sardar Sarovar,8,gnn,-6.565,93.005
test,Sardar Sarovar,8,persist,-1.853,57.111
test,Sardar Sarovar,8,clim,-0.188,36.86
test,Sardar Sarovar,9,gnn,-7.434,93.994
test,Sardar Sarovar,9,persist,-1.721,53.385
test,Sardar Sarovar,9,clim,-0.235,35.963
test,Sardar Sarovar,10,gnn,-8.308,95.4
test,Sardar Sarovar,10,persist,-1.442,48.862
test,Sardar Sarovar,10,clim,-0.314,35.849
test,Sardar Sarovar,11,gnn,-8.655,97.415
test,Sardar Sarovar,11,persist,-1.092,45.346
test,Sardar Sarovar,11,clim,-0.311,35.895
test,Sardar Sarovar,12,gnn,-8.963,99.701
test,Sardar Sarovar,12,persist,-0.875,43.25
test,Sardar Sarovar,12,clim,-0.286,35.814
test,Srisailam,1,gnn,0.938,17.976
test,Srisailam,1,persist,0.909,21.83
test,Srisailam,1,clim,0.659,42.192
test,Srisailam,2,gnn,0.898,23.882
test,Srisailam,2,persist,0.782,34.868
test,Srisailam,2,clim,0.706,40.488
test,Srisailam,3,gnn,0.858,28.9
test,Srisailam,3,persist,0.684,43.178
test,Srisailam,3,clim,0.742,38.977
test,Srisailam,4,gnn,0.816,33.409
test,Srisailam,4,persist,0.585,50.241
test,Srisailam,4,clim,0.771,37.295
test,Srisailam,5,gnn,0.78,36.811
test,Srisailam,5,persist,0.477,56.729
test,Srisailam,5,clim,0.793,35.661
test,Srisailam,6,gnn,0.739,40.164
test,Srisailam,6,persist,0.362,62.793
test,Srisailam,6,clim,0.811,34.203
test,Srisailam,7,gnn,0.687,43.816
test,Srisailam,7,persist,0.227,68.847
test,Srisailam,7,clim,0.824,32.887
test,Srisailam,8,gnn,0.611,48.494
test,Srisailam,8,persist,0.074,74.819
test,Srisailam,8,clim,0.825,32.523
test,Srisailam,9,gnn,0.453,57.621
test,Srisailam,9,persist,-0.108,82.002
test,Srisailam,9,clim,0.791,35.646
test,Srisailam,10,gnn,0.314,64.54
test,Srisailam,10,persist,-0.295,88.675
test,Srisailam,10,clim,0.756,38.491
test,Srisailam,11,gnn,0.177,70.635
test,Srisailam,11,persist,-0.503,95.472
test,Srisailam,11,clim,0.726,40.738
test,Srisailam,12,gnn,0.029,76.599
test,Srisailam,12,persist,-0.741,102.547
test,Srisailam,12,clim,0.699,42.666
test,Tungabhadra,1,gnn,-38.728,12.767
test,Tungabhadra,1,persist,-1.154,2.973
test,Tungabhadra,1,clim,-578.548,48.763
test,Tungabhadra,2,gnn,-98.392,19.979
test,Tungabhadra,2,persist,-2.228,3.6
test,Tungabhadra,2,clim,-590.647,48.745
test,Tungabhadra,3,gnn,-143.884,24.361
test,Tungabhadra,3,persist,-1.715,3.335
test,Tungabhadra,3,clim,-570.038,48.364
test,Tungabhadra,4,gnn,-172.861,27.113
test,Tungabhadra,4,persist,0.319,1.697
test,Tungabhadra,4,clim,-541.292,47.884
test,Tungabhadra,5,gnn,-196.344,28.759
test,Tungabhadra,5,persist,-0.436,2.453
test,Tungabhadra,5,clim,-549.648,48.04
test,Tungabhadra,6,gnn,-202.867,28.69
test,Tungabhadra,6,persist,-2.025,3.495
test,Tungabhadra,6,clim,-581.483,48.495
test,Tungabhadra,7,gnn,-186.176,27.581
test,Tungabhadra,7,persist,-2.066,3.53
test,Tungabhadra,7,clim,-569.02,48.131
test,Tungabhadra,8,gnn,-154.667,25.529
test,Tungabhadra,8,persist,-0.57,2.564
test,Tungabhadra,8,clim,-543.02,47.725
test,Tungabhadra,9,gnn,-118.803,22.359
test,Tungabhadra,9,persist,0.433,1.538
test,Tungabhadra,9,clim,-542.581,47.627
test,Tungabhadra,10,gnn,-84.493,18.53
test,Tungabhadra,10,persist,-1.676,3.278
test,Tungabhadra,10,clim,-575.326,48.111
test,Tungabhadra,11,gnn,-48.013,14.49
test,Tungabhadra,11,persist,-2.121,3.657
test,Tungabhadra,11,clim,-532.87,47.824
test,Tungabhadra,12,gnn,-21.963,11.013
test,Tungabhadra,12,persist,-1.011,3.259
test,Tungabhadra,12,clim,-426.661,47.527
test,Ujjani,1,gnn,-7.235,13.008
test,Ujjani,1,persist,0.911,1.354
test,Ujjani,1,clim,-105.988,46.886
test,Ujjani,2,gnn,-26.973,20.275
test,Ujjani,2,persist,0.549,2.573
test,Ujjani,2,clim,-150.762,47.226
test,Ujjani,3,gnn,-61.717,25.435
test,Ujjani,3,persist,-0.29,3.647
test,Ujjani,3,clim,-217.698,47.496
test,Ujjani,4,gnn,-113.475,29.04
test,Ujjani,4,persist,-1.813,4.552
test,Ujjani,4,clim,-307.986,47.709
test,Ujjani,5,gnn,-172.854,31.199
test,Ujjani,5,persist,-3.932,5.255
test,Ujjani,5,clim,-408.23,47.866
test,Ujjani,6,gnn,-221.458,32.466
test,Ujjani,6,persist,-6.023,5.768
test,Ujjani,6,clim,-484.749,47.975
test,Ujjani,7,gnn,-249.513,33.549
test,Ujjani,7,persist,-7.251,6.089
test,Ujjani,7,clim,-512.965,48.055
test,Ujjani,8,gnn,-260.745,34.494
test,Ujjani,8,persist,-7.441,6.194
test,Ujjani,8,clim,-507.307,48.069
test,Ujjani,9,gnn,-272.46,35.292
test,Ujjani,9,persist,-7.022,6.045
test,Ujjani,9,clim,-504.678,47.992
test,Ujjani,10,gnn,-297.786,36.036
test,Ujjani,10,persist,-6.386,5.666
test,Ujjani,10,clim,-527.847,47.943
test,Ujjani,11,gnn,-311.411,36.783
test,Ujjani,11,persist,-5.682,5.379
