Condition,CRPS,RMSE,NSE,KGE
El Nino,802.6898361285679,2589.567315090034,-0.5237074541182042,0.18928898894327936
Neutral,238.09028711857331,321.12587505189873,-364.616661057711,-7.326803241111205
