CRPS,RMSE,MAE,NSE,KGE,Reservoir,Basin
503.77987331397867,896.8994738134793,635.7047987068614,-3.5173543568193564,-0.4216870715539869,Nagarjuna Sagar,krishna
383.41855246984306,1038.1526304047668,401.2876494304831,0.7935221538585113,0.6432194233939934,Srisailam,krishna
680.9208632908941,2435.980466972788,856.0526089398039,0.7491574919416399,0.604362699944794,Almatti,krishna
385.2129147429362,1480.4155760010322,511.08218001271683,0.6145014808807209,0.5958585154486955,Tungabhadra,krishna
212.18815016076968,395.7434774571543,249.81417067232505,0.3827243559401784,0.34791576308430605,Mettur,cauvery
205.25327080551094,717.8357911728615,249.3720059253352,0.29071709565053816,0.4311517005411001,Krishnaraja Sagara,cauvery
107.27770371052017,290.03735839656656,123.57557219431867,0.08564096981613456,0.49417135753315267,Jayakwadi,godavari
377.93101683293435,1051.7522132698214,448.8435414619128,0.48271760956434373,0.3907184211871453,Ujjani,krishna
3309.4881681752313,13047.0774619863,3758.1232103332245,0.11472790994808879,0.19803318897895317,Sardar Sarovar,narmada
371.2554998813253,980.2933820974554,465.30167365884733,0.5497485749107127,0.6266105893373122,Ukai,tapi
