Week,CRPS,RMSE,NSE,KGE,Reservoir,Basin
3,1470.8011657303955,4996.659752457553,-0.05539026924698742,-0.24878966944147685,Almatti,krishna
3,685.6587834840896,2429.351299461849,-0.03809252669292107,-0.18391812573952082,Tungabhadra,krishna
3,1166.4440936864507,1331.326853284668,-2.685218708080591,-0.4484260171014238,Mettur,cauvery
3,271.88608036623367,808.6043813125723,0.10045678185939977,0.050505793236626184,Krishnaraja Sagara,cauvery
3,57.90551971388508,41.0738298311472,,,Jayakwadi,godavari
3,531.823428185026,1465.091348140939,-0.0037607491890649936,-0.1749883526650582,Ujjani,krishna
3,3319.5317956781214,11496.300819058515,-0.05223316436320813,-0.36073526961597313,Sardar Sarovar,narmada
3,518.8377371859099,1333.434333810924,0.16647550906712272,0.1012875241311526,Ukai,tapi
4,431.0276786629433,982.9583213978958,-0.2726637690075109,-0.4625166418267437,Nagarjuna Sagar,krishna
4,847.0718554339118,2523.584238435223,-0.21832926212996306,-0.3401286891964197,Srisailam,krishna
4,1686.3507853198075,5210.331869404392,-0.14758352293513188,-0.38415443375035396,Almatti,krishna
4,812.1956633327006,2541.756946907957,-0.1363796838821998,-0.32353168666446264,Tungabhadra,krishna
4,1177.1954014871446,1487.114190546998,-3.760211989452122,-0.7216589499275696,Mettur,cauvery
4,329.6468503411713,869.1955263858769,-0.03805500607092305,-0.1051404845123638,Krishnaraja Sagara,cauvery
4,55.750765685567735,33.72524682362476,,,Jayakwadi,godavari
4,574.3203033639313,1538.6471613921583,-0.1070796853406859,-0.27720386700852506,Ujjani,krishna
4,3293.435464977808,11330.635098362147,-0.02210202917975801,-0.30239620367277276,Sardar Sarovar,narmada
4,582.3444637258623,1421.999150582852,0.05172985999430124,0.007130418035289243,Ukai,tapi
5,474.76401339819085,981.3110802862898,-0.267103167677859,-0.4265216894704309,Nagarjuna Sagar,krishna
5,897.8479633511597,2518.382805293906,-0.21253469582591267,-0.3517999891719821,Srisailam,krishna
5,1850.7542550136159,5200.870683351543,-0.14341962562815258,-0.4214949456806907,Almatti,krishna
5,883.9155786774772,2552.411614511489,-0.14592672161778397,-0.3637237028627298,Tungabhadra,krishna
5,1162.1198231779442,1562.97259035235,-4.2078988471025225,-0.9401980920402617,Mettur,cauvery
5,354.80264584212654,879.6269143767935,-0.0628009013021038,-0.14955140229873543,Krishnaraja Sagara,cauvery
5,54.42062976443611,32.11174389833781,,,Jayakwadi,godavari
5,621.6413136775259,1534.0664447401482,-0.10049770904626731,-0.3214731127703585,Ujjani,krishna
5,3485.627102991575,11526.167439154497,-0.05888032380236141,-0.392030600782044,Sardar Sarovar,narmada
5,607.3960759810781,1445.986095094846,0.019314997227748987,-0.0636442303868281,Ukai,tapi
6,541.229706318899,961.6111827852309,-0.2146656177635855,-0.3882308487783104,Nagarjuna Sagar,krishna
6,986.3854625595704,2458.336039274492,-0.15401350769794764,-0.37192759529839226,Srisailam,krishna
6,1954.8823121711034,5121.873325704084,-0.10894804053850327,-0.4619451819074971,Almatti,krishna
6,942.9471708306481,2522.4537127884105,-0.11918487854501492,-0.4106278512127721,Tungabhadra,krishna
6,1243.1850330159398,1812.6837388454214,-5.995871802256944,-1.303403387382705,Mettur,cauvery
6,374.64330647219447,869.1800646336643,-0.03788096575013955,-0.17872271202086942,Krishnaraja Sagara,cauvery
6,58.76357975489342,34.870981296311804,,,Jayakwadi,godavari
6,676.0067859773334,1561.1609743229258,-0.1397147643666159,-0.41731310349465733,Ujjani,krishna
6,3618.532271481716,11585.441768175771,-0.07181274339342036,-0.464198531417207,Sardar Sarovar,narmada
6,656.3373150399312,1475.2577040057884,-0.020959133419582443,-0.15661766918318265,Ukai,tapi
7,577.4565892176984,937.1223768187563,-0.15140538569105444,-0.3053962824789316,Nagarjuna Sagar,krishna
7,1039.9791873126771,2430.0014975903473,-0.12592020512043267,-0.3906352782590601,Srisailam,krishna
7,1967.0861404342654,5082.70988499013,-0.09205415129794181,-0.5053804617686324,Almatti,krishna
7,995.1305490536133,2490.845631131365,-0.091312167770222,-0.4053780274551091,Tungabhadra,krishna
7,1265.4409740315202,1694.1612693460354,-5.149468010681402,-1.1182409976394991,Mettur,cauvery
7,381.80119863014374,860.8430781724185,-0.018369841696087796,-0.17090279836784106,Krishnaraja Sagara,cauvery
7,65.26675255251335,33.09657306226853,,,Jayakwadi,godavari
7,703.3073596307438,1597.7945454710944,-0.19383050038033423,-0.532108080149684,Ujjani,krishna
7,3615.9094235564303,11596.5626302761,-0.07413946227809842,-0.483261628411765,Sardar Sarovar,narmada
7,654.6900970985553,1482.938558940162,-0.03181805925102332,-0.2083435223938792,Ukai,tapi
8,592.4329569450737,953.4826189468407,-0.19054507264734477,-0.4222826211082864,Nagarjuna Sagar,krishna
8,1067.2379962821176,2421.4754950570336,-0.11733233170308943,-0.49008624468186235,Srisailam,krishna
8,1947.3887816177185,5051.234828847778,-0.0785707774747808,-0.5589528935830406,Almatti,krishna
8,1026.3323610980744,2460.072105630887,-0.06451316248807348,-0.4133119985122877,Tungabhadra,krishna
8,1272.733099652274,1795.1949663542919,-5.8826483885537195,-1.2141708653406535,Mettur,cauvery
8,372.7112300465532,873.1087698875685,-0.04795884547660556,-0.23993517187887736,Krishnaraja Sagara,cauvery
8,64.7117713421634,34.158637651073356,,,Jayakwadi,godavari
8,696.5240399332704,1664.8844449234487,-0.2961909745667959,-0.7715620701657069,Ujjani,krishna
8,3598.7437731852715,11596.932318596299,-0.07473936306663997,-0.50014762381743,Sardar Sarovar,narmada
8,668.9434904797971,1500.7496289252824,-0.05690227669695114,-0.26144235561421714,Ukai,tapi
9,598.6503681469787,965.7849569897533,-0.22154789116317386,-0.4851808340826964,Nagarjuna Sagar,krishna
9,1089.112366238454,2416.6528274620323,-0.11308070681643434,-0.5367103619509674,Srisailam,krishna
9,1905.8845131740395,5022.927574219193,-0.06651597133827103,-0.5814375914686096,Almatti,krishna
9,1044.005616811657,2443.59432281111,-0.0503005126382432,-0.422017791897366,Tungabhadra,krishna
9,1275.4792825629042,1815.0737744076562,-5.993397304569276,-1.2249052098354891,Mettur,cauvery
9,372.20388167698763,869.2917818744861,-0.039089889184615645,-0.25305193915396207,Krishnaraja Sagara,cauvery
9,67.70763189505344,36.96518994232721,,,Jayakwadi,godavari
9,693.8096695268913,1691.6241609732592,-0.3381615919721399,-0.8574663299051524,Ujjani,krishna
9,3598.2448006569593,11558.261037795852,-0.06598506968818474,-0.49471195495218656,Sardar Sarovar,narmada
9,677.7912420707479,1504.351323025905,-0.06220093640662072,-0.26636776333041867,Ukai,tapi
10,595.9575844111876,974.1107243980016,-0.24151007834792582,-0.6102007390644322,Nagarjuna Sagar,krishna
10,1066.2589681562447,2402.736992631372,-0.0997079448103877,-0.6109914043121185,Srisailam,krishna
10,1796.5203043051054,5005.181185741447,-0.05899311876443836,-0.5845013580314602,Almatti,krishna
10,1003.159923724286,2442.8602105006157,-0.0496695382494623,-0.4490968517080962,Tungabhadra,krishna
10,1286.7809775318788,2042.5351128441575,-7.7889122318633035,-1.5689651697058484,Mettur,cauvery
10,357.0794734063017,868.5640961574072,-0.03718498690054983,-0.2700144431026348,Krishnaraja Sagara,cauvery
10,72.82681312172343,42.573315303256216,,,Jayakwadi,godavari
10,688.0994233499958,1726.7369285041905,-0.39429013890600473,-0.8721009264741164,Ujjani,krishna
10,3450.2104306606616,11496.429739601077,-0.052452376532940104,-0.46085512427030273,Sardar Sarovar,narmada
10,669.4880800245253,1519.5765608674747,-0.08454588691915221,-0.2947956729154273,Ukai,tapi
11,595.6640024704844,965.7997373829627,-0.21943703336023712,-0.551555899215467,Nagarjuna Sagar,krishna
11,1065.5169620525844,2398.7549925816274,-0.09490935485849672,-0.5780332781355946,Srisailam,krishna
11,1665.234184416276,4988.788315625575,-0.0520676918732661,-0.5495801800665785,Almatti,krishna
11,934.4475266102255,2430.3326647717854,-0.0389312524180796,-0.4149595228016376,Tungabhadra,krishna
11,1211.70256986961,1818.5289306702532,-5.92489535215256,-1.2557408765833795,Mettur,cauvery
11,347.97474651121763,852.8290357939031,0.0015344119035359816,-0.1913165418227638,Krishnaraja Sagara,cauvery
11,79.59934159170032,37.288455115484496,,,Jayakwadi,godavari
11,665.0171911009545,1684.3233550053815,-0.32663589241826463,-0.7742059522600124,Ujjani,krishna
11,3322.6802772560277,11483.069472420757,-0.047921928553706916,-0.454308246039572,Sardar Sarovar,narmada
11,643.9825798313567,1522.8077861716504,-0.09034419988308917,-0.31294429266671653,Ukai,tapi
12,606.575791261578,958.2432548781437,-0.19995818058451742,-0.510663427682142,Nagarjuna Sagar,krishna
12,1017.2872159623723,2339.768349956902,-0.041992889451004656,-0.44640689973149383,Srisailam,krishna
12,1666.187831501982,4941.995789464557,-0.03246894125457844,-0.47311479626338127,Almatti,krishna
12,942.7223624225163,2428.484861470504,-0.036802702531932185,-0.4258569638928078,Tungabhadra,krishna
12,1372.149067239497,1893.8207370854157,-6.449892893049228,-1.3625042796757545,Mettur,cauvery
12,387.21877244743376,861.7671621940947,-0.018819278573025455,-0.2429441431343644,Krishnaraja Sagara,cauvery
12,100.01501713922009,42.95525313107228,,,Jayakwadi,godavari
12,703.7387578451851,1694.8665379182717,-0.34329628153196223,-0.7604017550149038,Ujjani,krishna
12,3264.2479246977227,11495.756604920964,-0.04875619455777014,-0.4599778638827283,Sardar Sarovar,narmada
12,653.1697653216389,1558.3519173562124,-0.14352603292928467,-0.4366575932705621,Ukai,tapi
