Reservoir,NSE_mean,NSE_std,RMSE_mean,MAE_mean,seeds,persistence_NSE,climatology_NSE
Ukai,0.7015187950200913,0.02624818199867905,1398.9687080439528,,3,0.6504666893420303,0.7910796525177215
Tungabhadra,0.6464624526576181,0.0319611816436378,3472.429018431929,,3,0.611777197694476,0.542014161901293
Srisailam,0.6123544622524978,0.02083780060836683,14519.604303289982,,3,0.4175962837331021,0.452933653532244
Mettur,0.6076384924216486,0.006872878947633331,2582.5150075299193,,3,0.3524780986316237,0.35374016174026457
Krishnaraja Sagara,0.5880827472778755,0.010142380855073166,2138.651335151594,,3,0.4587778615475785,0.3817373115868169
Almatti,0.5865087520389074,0.025156499963114493,8600.950198452765,,3,0.48832914307964204,0.5332026785222601
Nagarjuna Sagar,0.5739285567363578,0.0213388656852223,10248.607579546304,,3,-0.023142973449584936,0.25824691922554155
Sardar Sarovar,0.5653602126254565,0.02142060112454415,6738.680341400669,,3,0.37569820138213617,0.6860900941051937
Ujjani,0.5191527636814044,0.022964100413363858,3522.5223317669534,,3,0.338062839185432,0.35736266130031447
Jayakwadi,0.30797619399346704,0.021684635629769185,728.3939649537439,,3,0.00794678918920333,0.3538953210249409
