dam,split,week,level_nse,pers_nse,clim_nse,ds_nse
nagarjuna_sagar,val,1,-1.310155371884496,-0.8632576271974917,-0.42579692679093206,-0.24086943089424429
nagarjuna_sagar,val,4,0.48567213831229106,0.4272311156269273,-0.5087071334593947,0.2972272543518275
nagarjuna_sagar,val,12,-1.8242659300996968,-0.9763107432426075,-0.8011216911708416,-0.15106477374226768
nagarjuna_sagar,test,1,-16.30412368093671,-0.8387743917381447,-127.02580127025615,-8.597669824064209
nagarjuna_sagar,test,4,-8.632468577547849,0.26606745919657726,-122.2264444407987,-0.35197490555441324
nagarjuna_sagar,test,12,-35.42646130074821,-1.1131811786832504,-117.71576875824177,-1.7416384505875966
srisailam,val,1,0.7739626290431478,0.6710067130465085,-5.876525684767009,0.3099362337668896
srisailam,val,4,-0.7029770948922127,-0.479884342288875,-6.539445018780003,-0.6398965759420985
srisailam,val,12,-3.604977697000444,-1.3432597604756071,-6.532584019555976,-0.2284679021276208
srisailam,test,1,0.9098117143703993,0.8954233491697637,0.602802419206169,0.1375563414133978
srisailam,test,4,0.7426648404809759,0.37583612346999395,0.6527612909532419,0.19872225383594755
srisailam,test,12,0.7849769087874253,-0.7405144818870264,0.6987070926883199,0.30422538462848525
almatti,val,1,-0.13258702446000736,-0.6792126800024922,-0.31920716547255346,0.32522979277033426
almatti,val,4,0.37400156008183627,0.236006585483588,-0.44746391748995507,0.2848815560282498
almatti,val,12,-0.8231023716759232,-0.9065059500882002,-0.7686829619185187,0.07038734902994537
almatti,test,1,-5.573128170041365,-1.1010455906555934,-28.190438284165758,-2.1286362016830114
almatti,test,4,-0.5503150514412951,0.38648689124503754,-27.162653017967624,0.3211777258195675
almatti,test,12,-7.366519475887353,-1.2581696091666874,-26.67644806907619,-0.5677926914138418
tungabhadra,val,1,-1.0474419833299384,-0.8670935414747118,-1.1328591640563421,-0.09714954669543574
tungabhadra,val,4,0.48670893368855705,0.43887484031917967,-1.2734788301072588,0.32261466530220306
tungabhadra,val,12,-0.6781050789763565,-0.899091989642236,-1.7826571059516105,-0.030373169880482553
tungabhadra,test,1,-18.807794074688204,-0.7920675480784134,-468.6219380907389,-10.07935073152453
tungabhadra,test,4,-8.029906311086513,0.3865887636434667,-446.9066666905537,-1.3575752650733515
tungabhadra,test,12,-65.12816477044113,-1.010757409024139,-426.66119082794484,-6.135704134255252
mettur,val,1,0.00301004071638844,-0.5393640828976505,-0.5261458765877831,0.35083619225578333
mettur,val,4,0.12331694973484697,0.5144933025157246,-0.3809635031683154,0.38295311355120554
mettur,val,12,-0.19888630597905466,-0.5803775741670263,-0.27554325251005296,0.1609967788619604
mettur,test,1,-3.6435310037096578,-0.5498706411878385,-13.919931974688383,-1.9962801185676584
mettur,test,4,-0.2281333692015286,-0.1332796070327924,-14.17806547083589,-0.07082550396027831
mettur,test,12,-2.298328031959186,-1.0375291600412684,-13.575370819749656,-0.6031608499418994
krishnaraja_sagara,val,1,-0.16914087528090138,-0.8487963173325137,-0.887872240315912,0.3671126232543831
krishnaraja_sagara,val,4,0.21364669031148553,0.43063978080231835,-1.014117784482163,0.4818660601983976
krishnaraja_sagara,val,12,-0.9033605810644967,-0.7904106617605908,-1.4172217028845622,0.13184541791937732
krishnaraja_sagara,test,1,-12.76467743823029,-0.63261169395605,-47.105500062364804,-7.43775157755441
krishnaraja_sagara,test,4,-1.2539235682112793,0.21683122650874453,-45.57610419498986,-1.2435826281985798
krishnaraja_sagara,test,12,-4.889286870061659,-0.9993109303840497,-44.31667652126372,-2.987023085661243
jayakwadi,val,1,-0.34292350384141046,0.031229926156857934,-0.1734403342990536,-0.3880807133059905
jayakwadi,val,4,-0.26452882490077956,-0.041000412706970524,-0.26689621586617296,-0.21570392392184834
jayakwadi,val,12,-1.3123025597420197,-1.0754654921678797,-0.6066138692889063,-0.35504390566066624
jayakwadi,test,1,-2.197471069238322,-0.6540524985553915,-4.146632257089332,-0.9359432968350143
jayakwadi,test,4,-0.2679706624272038,-0.08161458017556789,-4.0728236205035735,0.008590595588724215
jayakwadi,test,12,-1.1165043809500586,-1.5485934878385552,-3.8748810140909384,-0.09444383593590255
ujjani,val,1,-0.5497599189751525,0.7168659296558669,-4.722038204828382,-5.244027253291516
ujjani,val,4,-2.998332030303272,-1.4874903844011702,-6.755321954085848,-3.1464650193260066
ujjani,val,12,-0.6948591530815942,-1.8311789258476168,-7.972056181895111,-0.9908653014267603
ujjani,test,1,-0.9440345437819222,0.903981522520029,-134.19140787893716,-32.36096887244717
ujjani,test,4,-6.421236172846383,-1.7529067434669785,-347.03673279060354,-62.536516349694416
ujjani,test,12,-10.345730419842962,-5.264327725353243,-523.2611215443486,-200.71127875226477
sardar_sarovar,val,1,-0.7849621330762824,0.5889671350434763,-0.9721727693893687,-3.3546735512847228
sardar_sarovar,val,4,-1.5621744512360354,-1.900132220555506,-1.0452410898403612,-2.315141529691373
sardar_sarovar,val,12,-3.8500827900553096,-0.48035021272058764,-0.49561388818900376,-1.288848247954927
sardar_sarovar,test,1,-0.7543031721322604,0.6549760042956565,-0.14440923960934104,-4.117596279109316
sardar_sarovar,test,4,-1.5697546134964528,-1.3405231993846924,-0.14872992659765982,-1.5863034615358842
sardar_sarovar,test,12,-4.183936220359441,-0.8748783463725627,-0.28564561503475305,-0.24782123089635721
ukai,val,1,0.1143450099647304,0.3912992027571859,-0.3368456390078449,-0.45648428513984696
ukai,val,4,-1.401556663745613,-1.4603964127120483,-0.29710977240295344,-2.5000431861129266
ukai,val,12,-1.3427848648601235,-0.7415673522856794,-0.1919910300633152,-0.5026344043636692
ukai,test,1,-0.10412468485919457,0.8760507622201534,-0.18136372359022324,-7.932123768139542
ukai,test,4,-0.0942478953066217,0.022380328725885912,-0.13925011842383417,-4.642902566120834
ukai,test,12,-4.963728263507584,-8.208913425856709,-1.7127224461290216,-4.95543228033796
