Week,CRPS,RMSE,MAE,NSE,KGE,Reservoir,Basin
4,1691.2093882406255,5224.3881439438,1882.5616951109293,-0.15378370671680064,-0.3867555761813237,Almatti,krishna
4,813.4594261300425,2548.2920150924483,885.2770798212455,-0.14223064895401616,-0.32735870716703896,Tungabhadra,krishna
4,1116.0240678906337,1322.713404196876,1057.0082299107023,-5.693260171530032,-0.8854050300047169,Mettur,cauvery
4,329.23674480897614,870.8518338329328,349.78366719852454,-0.042014935313620994,-0.10969363214737116,Krishnaraja Sagara,cauvery
4,56.10645340676573,33.54984322734823,27.919742139296506,,,Jayakwadi,godavari
4,571.032162489743,1543.2316322300153,731.2247015889733,-0.11368670456835939,-0.28409137461983924,Ujjani,krishna
4,3297.929357281126,11355.653918145812,3888.8466691992885,-0.02662075533692998,-0.3108168758079668,Sardar Sarovar,narmada
4,582.6698009020002,1423.9569120288938,695.4873410402994,0.049116968566676245,0.006794241290343783,Ukai,tapi
5,473.9639812668918,986.8445624669309,376.1588659034497,-0.2814335087421276,-0.4175692540410567,Nagarjuna Sagar,krishna
5,897.7599405776978,2534.0199074882016,832.0593683614798,-0.22763914588742207,-0.34997887568298003,Srisailam,krishna
5,1843.3021719071185,5211.021550208544,1896.6009923280408,-0.14788734953548888,-0.42028333529368544,Almatti,krishna
5,882.2032600385185,2555.5280095122457,899.3203427213447,-0.1487266935422742,-0.35962840551910213,Tungabhadra,krishna
5,1103.2431159803261,1457.4363764556078,1175.5153051060765,-7.012793895894987,-1.190026762605977,Mettur,cauvery
5,353.7132966197606,881.1549828727066,355.8473684554717,-0.0664966572298622,-0.15336286008195232,Krishnaraja Sagara,cauvery
5,54.53019950444544,29.683723473586408,23.15122144322669,,,Jayakwadi,godavari
5,622.66452329126,1543.338156349068,760.1721874653005,-0.11384045801288223,-0.33640863121583053,Ujjani,krishna
5,3486.8533241196274,11541.82086536196,4137.334530683,-0.06175835940882912,-0.39664211369729085,Sardar Sarovar,narmada
5,605.6307412442192,1447.8818461077835,729.7252028160179,0.016741869730787395,-0.06236129315154759,Ukai,tapi
6,534.9116219246682,954.409266442493,379.9115066553417,-0.1965394522890196,-0.3788493877103747,Nagarjuna Sagar,krishna
6,981.3372652196058,2456.954358659027,810.1392651949367,-0.1527166711477732,-0.37716128589476505,Srisailam,krishna
6,1944.119494678334,5119.998503153515,1849.709361836418,-0.10813634522867654,-0.4641802820748313,Almatti,krishna
6,939.6288491479262,2524.8495809627148,884.9378112627758,-0.12131192876305175,-0.4122201314735914,Tungabhadra,krishna
6,1189.9339297329375,1647.4288026244403,1379.8448836039122,-9.043572264840703,-1.5340558099809107,Mettur,cauvery
6,372.42421682728326,867.9957885625506,366.21608800719974,-0.035054623362631654,-0.17491148749847674,Krishnaraja Sagara,cauvery
6,58.95836063024748,32.589727043235925,25.84315125937522,,,Jayakwadi,godavari
6,674.6505918027349,1564.5380707452432,778.3656304938288,-0.14465094930464728,-0.4264679390058057,Ujjani,krishna
6,3621.2974713289,11582.77723525926,4175.458986540645,-0.07131978818624973,-0.4624964712439865,Sardar Sarovar,narmada
6,652.1944083817355,1474.5468706323973,759.628758162433,-0.019975499196487778,-0.15849129242029902,Ukai,tapi
7,573.6676680192812,937.9108819013073,375.74603505085634,-0.1533438111839458,-0.3249573495919891,Nagarjuna Sagar,krishna
7,1037.4753840502751,2430.835575127899,788.5913599751743,-0.1266932630160713,-0.3991301263056988,Srisailam,krishna
7,1956.0643738568497,5084.7007187484505,1767.4971028497582,-0.0929098066877021,-0.5137113673235894,Almatti,krishna
7,989.9985600175143,2492.0281115243192,861.8269502322952,-0.09234857206126268,-0.41341166762763537,Tungabhadra,krishna
7,1187.2163810136017,1578.3447787222606,1266.0018974139416,-8.080752445348883,-1.380914506543963,Mettur,cauvery
7,379.9682659240556,861.8699073170288,377.70723942221935,-0.020800750464509354,-0.17420466441100424,Krishnaraja Sagara,cauvery
7,65.5183658480502,31.17157166189306,25.098711088468914,,,Jayakwadi,godavari
7,705.5534674497777,1603.6973107182944,809.5530606833518,-0.20266757892049125,-0.543405591810699,Ujjani,krishna
7,3610.512787414908,11589.349015578215,4204.287308911619,-0.07280354602191252,-0.476234545543325,Sardar Sarovar,narmada
7,649.0655952050581,1483.8081329881659,767.912513606575,-0.03302850086534437,-0.20989215701587738,Ukai,tapi
8,593.1279815446321,956.3980784213884,396.54009413781307,-0.19783685217594615,-0.4369544185958716,Nagarjuna Sagar,krishna
8,1077.626190133987,2422.316844013095,786.5060665593411,-0.11810890756125625,-0.4938389219865802,Srisailam,krishna
8,1945.0657120733442,5054.746177316196,1704.9961839965679,-0.08007082818261702,-0.5664880586150782,Almatti,krishna
8,1027.1948780034343,2459.52399735457,840.2110359332655,-0.06403886462144959,-0.41912944888894543,Tungabhadra,krishna
8,1220.4606664002354,1696.6580978319557,1344.4397832689149,-9.370337934494042,-1.5606280805042232,Mettur,cauvery
8,372.80823540812213,874.7132354900975,377.40312702875656,-0.05181394097213743,-0.2479944926721147,Krishnaraja Sagara,cauvery
8,65.67309406532964,34.30386004792801,27.689867251722948,,,Jayakwadi,godavari
8,700.2699866810834,1674.7536436470873,841.0590981839777,-0.3116037943777641,-0.7981335664931501,Ujjani,krishna
8,3606.6555265983384,11620.395347454894,4194.12161519674,-0.07909260912806682,-0.5107379387409128,Sardar Sarovar,narmada
8,669.0080195759899,1503.4410224365247,788.1736357205838,-0.060696501296960026,-0.26641595129956164,Ukai,tapi
9,598.0898679294845,962.3715553432031,410.97187601309395,-0.21292844617232531,-0.46197428129599016,Nagarjuna Sagar,krishna
9,1094.9271729169545,2410.0056914437714,810.0089256848846,-0.10696594893916056,-0.5200970709764161,Srisailam,krishna
9,1906.1482587885653,5017.065928740234,1670.9077524010318,-0.06402822261975527,-0.5748031224208405,Almatti,krishna
9,1055.303955501106,2440.6771914979463,851.3093381985997,-0.047794339101874694,-0.42118856514279424,Tungabhadra,krishna
9,1228.5059235507056,1731.85182718801,1383.552648452804,-9.64858650168252,-1.6102601665980867,Mettur,cauvery
9,372.85344219273657,868.9254974653658,380.34916348344507,-0.03821441273636128,-0.25683143135077313,Krishnaraja Sagara,cauvery
9,68.60807637075287,39.20717492001329,31.54046197010516,,,Jayakwadi,godavari
9,690.9888378718308,1690.6321975125652,862.5398755659716,-0.3365926640265051,-0.8562120717428019,Ujjani,krishna
9,3604.17072356261,11573.169828109945,4169.294524618714,-0.06873683270580533,-0.5034569581677963,Sardar Sarovar,narmada
9,680.6626061863659,1502.0669969874552,806.8972079410323,-0.05897752576964699,-0.26256558015801534,Ukai,tapi
10,598.1664722854836,976.4428159224533,415.6607605946397,-0.24746172399875954,-0.6021483938407293,Nagarjuna Sagar,krishna
10,1070.9734044265488,2404.038493105482,763.4073189254894,-0.10089963416883396,-0.5946771367118409,Srisailam,krishna
10,1780.4342099547214,5008.730542698473,1558.1721432802346,-0.060495592775106743,-0.5868506613766384,Almatti,krishna
10,1002.5087294779238,2442.0036096229824,822.9438557969014,-0.048933523803338375,-0.4524359292395226,Tungabhadra,krishna
10,1274.1877809932494,2026.542224639069,1631.1406527188396,-13.348888263537251,-2.1167910287117606,Mettur,cauvery
10,357.0144329138065,869.2063838245471,392.691447486767,-0.03871951368887494,-0.2680734253126398,Krishnaraja Sagara,cauvery
10,73.55359069061004,44.21303821279473,35.15693692097055,,,Jayakwadi,godavari
10,688.0023415261094,1730.3189242993044,909.7152122551183,-0.40008085495469103,-0.8648415828604425,Ujjani,krishna
10,3453.4887509648574,11507.127752699926,4127.099435263334,-0.05441200890072673,-0.46565269663893805,Sardar Sarovar,narmada
10,667.3936898399076,1517.54196781294,814.5958251800292,-0.08164358854517606,-0.28844825125901097,Ukai,tapi
11,593.5456013652444,963.9436283083177,417.5020558722494,-0.2147544203795282,-0.5315577843413122,Nagarjuna Sagar,krishna
11,1071.2656828883041,2395.8416783164334,808.5596898332992,-0.09225141103365941,-0.5732719293561059,Srisailam,krishna
11,1661.5874832733568,4983.787776923129,1615.1451859471867,-0.04995965752509779,-0.5455201633914453,Almatti,krishna
11,938.9116707928611,2426.708821577736,847.9273585176898,-0.035835283636800774,-0.40882310597443294,Tungabhadra,krishna
11,1213.8186814746239,1864.4591083633675,1509.0608656260877,-11.022822722791032,-1.8472321553343591,Mettur,cauvery
11,349.0437926079562,850.493460025386,405.88391136646874,0.0069957616324501926,-0.18691512025816337,Krishnaraja Sagara,cauvery
11,79.67918427277772,39.363387490193546,31.389426017502988,,,Jayakwadi,godavari
11,664.9062262967259,1689.8289033954181,878.5595186369815,-0.3353228172202065,-0.7871843648313148,Ujjani,krishna
11,3323.796289484356,11478.435114731108,4065.6828162749393,-0.047076254829791164,-0.4519685291704094,Sardar Sarovar,narmada
11,647.0921986856175,1520.127257565054,822.168717554943,-0.08650901267286915,-0.30520728096945016,Ukai,tapi
12,610.1274178616105,959.779996722934,418.2232767037499,-0.20381003047290713,-0.5000108809622008,Nagarjuna Sagar,krishna
12,1026.840130482941,2341.4073503071536,777.750798789511,-0.043453226218457486,-0.44506984806159844,Srisailam,krishna
12,1659.4033027420996,4941.75202119859,1614.9048369624302,-0.0323670888989922,-0.47068823875369126,Almatti,krishna
12,941.9559453671473,2428.1241342779026,846.8436489991343,-0.036494712017437037,-0.42659863353322813,Tungabhadra,krishna
12,1372.5795058370215,1917.4462098129286,1565.4546335468337,-11.586669362678624,-1.917972614622646,Mettur,cauvery
12,386.0137653828812,863.3488222941542,416.18723324159214,-0.022562527684240052,-0.24623988487627746,Krishnaraja Sagara,cauvery
12,100.44577486248508,44.14036220141489,36.14762876033009,,,Jayakwadi,godavari
12,705.785405708505,1696.6409010823274,905.5594654864042,-0.3461103592577206,-0.7635653632073165,Ujjani,krishna
12,3266.181868232307,11489.701997639024,4029.996009884258,-0.047651763601819885,-0.4572474314387829,Sardar Sarovar,narmada
12,654.463771570973,1562.0271142280783,835.9454672210298,-0.14892614702295304,-0.4443184438104544,Ukai,tapi
